"Title","Attainment of development goals, by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","%","All pupils"
"All","67","669,052"
"Asian","65","61,999"
"Bangladeshi","62","9,065"
"Indian","73","18,457"
"Pakistani","59","23,710"
"Asian other","65","10,767"
"Black","66","30,676"
"Black African","67","20,837"
"Black Caribbean","65","5,532"
"Black other","65","4,307"
"Chinese","66","2,928"
"Mixed","69","37,862"
"Mixed White/Asian","73","9,153"
"Mixed White/Black African","69","5,474"
"Mixed White/Black Caribbean","65","9,501"
"Mixed other","69","13,734"
"White","69","469,032"
"White British","70","422,359"
"White Irish","70","1,598"
"White Irish Traveller","36","644"
"White Gypsy/Roma","24","1,793"
"White other","59","42,638"
"Other","58","10,410"
