"Title","Further education participation"
"Time period","2002/03 to 2015/16"
"Location","England"
"Source","Further education and skills"
"Department","Department for Education and Education and Skills Funding Agency"
"Last update","November 2016"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type,Gender,Gender_type,Age Bracket,Age Bracket Type,Value,Denominator, Numerator 
Percentage of adult education students in each ethnic group,2002/03,Academic Year,Asian,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,6.1,"4,703,000","288,230"
Percentage of adult education students in each ethnic group,2002/03,Academic Year,Black,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,4.2,"4,703,000","198,310"
Percentage of adult education students in each ethnic group,2002/03,Academic Year,Mixed,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,1.1,"4,703,000","50,220"
Percentage of adult education students in each ethnic group,2002/03,Academic Year,Unknown ethnicity,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,6.8,"4,703,000","321,540"
Percentage of adult education students in each ethnic group,2002/03,Academic Year,Other Ethnic group,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,1.9,"4,703,000","90,410"
Percentage of adult education students in each ethnic group,2002/03,Academic Year,White,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,79.8,"4,703,000","3,754,600"
Percentage of adult education students in each ethnic group,2003/04,Academic Year,Asian,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,6,"5,437,000","328,880"
Percentage of adult education students in each ethnic group,2003/04,Academic Year,Black,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,4.2,"5,437,000","228,550"
Percentage of adult education students in each ethnic group,2003/04,Academic Year,Mixed,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,1.2,"5,437,000","66,730"
Percentage of adult education students in each ethnic group,2003/04,Academic Year,Unknown ethnicity,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,5.2,"5,437,000","281,060"
Percentage of adult education students in each ethnic group,2003/04,Academic Year,Other Ethnic group,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,1.8,"5,437,000","99,110"
Percentage of adult education students in each ethnic group,2003/04,Academic Year,White,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,81.5,"5,437,000","4,433,090"
Percentage of adult education students in each ethnic group,2004/05,Academic Year,Asian,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,6.3,"5,563,000","349,790"
Percentage of adult education students in each ethnic group,2004/05,Academic Year,Black,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,4.6,"5,563,000","257,440"
Percentage of adult education students in each ethnic group,2004/05,Academic Year,Mixed,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,1.4,"5,563,000","78,290"
Percentage of adult education students in each ethnic group,2004/05,Academic Year,Unknown ethnicity,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,4.3,"5,563,000","240,040"
Percentage of adult education students in each ethnic group,2004/05,Academic Year,Other Ethnic group,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,1.9,"5,563,000","107,760"
Percentage of adult education students in each ethnic group,2004/05,Academic Year,White,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,81.4,"5,563,000","4,529,830"
Percentage of adult education students in each ethnic group,2005/06,Academic Year,Asian,ONS 5+1 2011,K02000001,ONS geography code,All,Male/Female/All,16+,Labour force age brackets,6.8,"4,894,000","331,740"
