"Title","Number of further education participants by ethnicity over time"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","FE data library: further education and skills"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-further-education-and-skills"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","21/12/16"

"","All","Asian","Black","Mixed","White","Other","Unknown","Ethnic minority (excl. White minorities)"
"Year","Participants","Participants","Participants","Participants","Participants","Participants","Participants","Participants"
"2002/03","4,703,310","288,230","198,310","50,220","3,754,600","90,410","321,540","627,170"
"2003/04","5,437,420","328,880","228,550","66,730","4,433,090","99,110","281,060","723,270"
"2004/05","5,563,150","349,790","257,440","78,290","4,529,830","107,760","240,040","793,280"
"2005/06","4,893,920","331,740","250,040","78,360","3,968,180","95,650","169,950","755,790"
"2006/07","4,202,780","297,530","230,010","77,000","3,382,000","84,790","131,450","689,330"
"2007/08","4,360,750","318,370","246,680","83,390","3,496,730","82,010","133,570","730,450"
"2008/09","4,837,100","373,890","274,370","93,630","3,873,920","89,640","131,650","831,530"
"2009/10","4,635,510","359,290","266,330","95,980","3,716,760","90,010","107,140","811,610"
"2010/11","4,264,860","349,980","258,100","95,430","3,393,000","81,280","87,070","784,790"
"2011/12","4,216,610","346,860","267,800","103,840","3,342,040","78,230","77,840","796,730"
"2012/13","4,320,270","340,210","272,870","111,700","3,420,430","80,140","94,920","804,920"
"2013/14","3,913,520","306,900","242,300","106,660","3,095,990","74,580","87,090","730,440"
"2014/15","3,576,860","289,230","228,440","102,010","2,821,900","71,980","63,300","691,660"
"2015/16","3,274,900","271,500","206,750","95,240","2,559,790","68,330","73,290","641,820"
