"Title","Percentage of people in further education by ethnicity over time"
"Location","England"
"Time period","2002/03 to 2016/17"
"Data source","FE data library: further education and skills"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-further-education-and-skills"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/12/2017"

"","Asian","Black","Mixed","White","Other","Unknown"
"","%","%","%","%","%","%"
"2002/03","6.1","4.2","1.1","79.8","1.9","6.8"
"2003/04","6.0","4.2","1.2","81.5","1.8","5.2"
"2004/05","6.3","4.6","1.4","81.4","1.9","4.3"
"2005/06","6.8","5.1","1.6","81.1","2.0","3.5"
"2006/07","7.1","5.5","1.8","80.5","2.0","3.1"
"2007/08","7.3","5.7","1.9","80.2","1.9","3.1"
"2008/09","7.7","5.7","1.9","80.1","1.9","2.7"
"2009/10","7.8","5.7","2.1","80.2","1.9","2.3"
"2010/11","8.2","6.1","2.2","79.6","1.9","2.0"
"2011/12","8.2","6.4","2.5","79.3","1.9","1.8"
"2012/13","7.9","6.3","2.6","79.2","1.9","2.2"
"2013/14","7.8","6.2","2.7","79.1","1.9","2.2"
"2014/15","8.1","6.4","2.9","78.9","2.0","1.8"
"2015/16","8.3","6.3","2.9","78.2","2.1","2.2"
"2016/17","8.6","6.6","3.0","77.7","2.3","1.8"
