"Title","Illicit drug use in the past year in adults, England, 2014"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Gender","Drug","Value","Denominator"
"Illicit drug use","2014","Year","White - British","All","Any drug in the past year","8.9","5,890"
"Illicit drug use","2014","Year","White - Other","All","Any drug in the past year","9.2","382"
"Illicit drug use","2014","Year","Black","All","Any drug in the past year","11.7","176"
"Illicit drug use","2014","Year","Asian","All","Any drug in the past year","3.4","322"
"Illicit drug use","2014","Year","Mixed/Other","All","Any drug in the past year","7.2","133"
"Illicit drug use","2014","Year","White - British","Men","Any drug in the past year","11.8","2,396"
"Illicit drug use","2014","Year","White - Other","Men","Any drug in the past year","11.7","142"
"Illicit drug use","2014","Year","Black","Men","Any drug in the past year","14.3","60"
"Illicit drug use","2014","Year","Asian","Men","Any drug in the past year","5.9","137"
"Illicit drug use","2014","Year","Mixed/Other","Men","Any drug in the past year","8.5","48"
"Illicit drug use","2014","Year","White - British","Women","Any drug in the past year","6.2","3,494"
"Illicit drug use","2014","Year","White - Other","Women","Any drug in the past year","6.9","240"
"Illicit drug use","2014","Year","Black","Women","Any drug in the past year","9.7","116"
"Illicit drug use","2014","Year","Asian","Women","Any drug in the past year","0.4","185"
"Illicit drug use","2014","Year","Mixed/Other","Women","Any drug in the past year","6.1","85"
