"Title","Illicit drug use in the past year in adults, England, 2014"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"Gender","Ethnicity",""
"All","Asian","3.4"
"All","Black","11.7"
"All","Mixed other","7.2"
"All","White British","8.9"
"All","White other","9.2"
"Men","Asian","5.9"
"Men","Black","14.3"
"Men","Mixed other","8.5"
"Men","White British","11.8"
"Men","White other","11.7"
"Women","Asian","0.4"
"Women","Black","9.7"
"Women","Mixed other","6.1"
"Women","White British","6.2"
"Women","White other","6.9"
