"Title","Absence from school"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-09"
"Measures","Time","Time_type","Ethnicity","Ethnicity_type","Geography","school_type","Value","Denominator","Numerator"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","City of London","Total","2.4","23890","575"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","City of London","Total","1.8","9872","179"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","City of London","Total","3.1","23616","730"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","City of London","Total","2.5","3146","78"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","City of London","Total","x","x","x"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","City of London","Total","1.6","5266","83"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","City of London","Primary","2.4","23890","575"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","City of London","Primary","1.8","9872","179"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","City of London","Primary","3.1","23616","730"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","City of London","Primary","2.5","3146","78"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","City of London","Primary","x","x","x"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","City of London","Primary","1.6","5266","83"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Total","5.2","2549820","133655"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Total","5.3","785545","41487"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Total","5.7","1275678","72094"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Total","4.1","1318606","54400"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Total","3.2","50359","1626"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Total","4.9","394390","19291"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Total","5.1","125071","6359"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Primary","4.3","1463696","63257"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Primary","4.5","436559","19815"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Primary","5.2","739818","38316"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Primary","3.5","651752","22556"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Primary","2.7","34614","948"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Primary","4.1","185294","7525"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Primary","4.4","52669","2333"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Secondary","6.2","1057496","65459"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Secondary","6.2","340918","21089"
