"","Asian","Black","Chinese","Mixed","White","Other"
"Oldham","11.2","4.1","4.2","16.0","14.1","28.4"
"Oxfordshire","12.3","7.5","4.7","12.1","10.0","8.5"
"Peterborough","9.4","4.9","2.7","11.9","11.9","8.1"
"Plymouth","7.9","5.7","4.7","11.7","11.7","11.8"
"Poole","7.7","7.2","!","9.9","9.1","10.4"
"Portsmouth","9.5","4.7","5.8","10.7","13.6","7.0"
"Reading","10.3","6.2","3.4","15.2","12.0","8.7"
"Redbridge","9.6","9.0","4.0","11.3","11.9","8.6"
"Redcar and Cleveland","9.0","!","0.0","11.3","12.0","18.4"
"Richmond upon Thames","7.4","8.1","1.7","8.4","7.3","9.2"
"Rochdale","8.2","3.5","!","12.3","12.2","9.8"
"Rotherham","13.0","5.4","4.4","14.9","13.0","8.8"
"Rutland","!","!","0.0","5.0","4.5","!"
"Salford","9.7","2.8","!","10.6","13.5","12.4"
"Sandwell","7.0","7.9","3.8","14.5","12.5","8.9"
"Sefton","8.1","4.6","12.5","12.1","11.5","11.0"
"Sheffield","12.8","7.7","1.8","15.7","13.7","11.2"
"Shropshire","8.1","10.5","0.0","10.4","9.6","7.4"
"Slough","7.6","5.3","!","10.2","11.8","6.6"
"Solihull","8.2","8.8","!","15.6","11.7","10.0"
"Somerset","9.3","7.8","3.5","12.1","11.3","15.5"
"South Gloucestershire","8.2","8.5","3.0","13.5","10.0","14.1"
"South Tyneside","8.1","5.4","0.0","13.3","12.5","10.0"
"Southampton","8.3","4.3","3.6","10.9","12.0","6.6"
"Southend-on-Sea","7.8","2.9","3.6","9.9","9.7","10.7"
"Southwark","9.1","5.9","2.1","11.9","12.2","10.4"
"St. Helens","5.6","5.7","!","10.8","11.0","12.0"
"Staffordshire","10.3","9.2","1.1","13.2","9.8","10.0"
"Stockport","12.1","6.2","2.1","12.6","11.0","13.5"
"Stockton-on-Tees","12.4","3.6","0.0","13.2","11.6","14.3"
"Stoke-on-Trent","9.9","5.0","!","15.6","12.7","18.9"
"Suffolk","11.3","6.2","!","11.1","9.9","10.0"
"Sunderland","7.9","8.3","3.8","11.5","12.3","7.7"
"Surrey","8.4","6.5","4.9","8.6","9.4","6.0"
"Sutton","6.8","5.4","2.0","9.6","10.9","5.9"
"Swindon","9.3","5.0","6.4","13.8","11.2","11.1"
"Tameside","8.0","3.4","2.9","12.1","10.8","6.0"
"Telford and Wrekin","8.2","3.6","5.6","11.5","10.7","13.9"
"Thurrock","6.0","3.0","0.0","10.1","11.1","6.7"
"Torbay","6.2","0.0","5.3","13.4","13.3","9.7"
"Tower Hamlets","7.2","6.2","2.1","13.5","16.1","5.6"
"Trafford","9.2","6.8","3.2","9.5","7.3","8.1"
"Wakefield","12.9","5.0","!","14.0","13.2","14.8"
"Walsall","7.9","6.4","0.0","14.1","12.5","11.1"
"Waltham Forest","11.7","9.8","3.9","13.6","13.5","9.6"
"Wandsworth","9.6","9.9","!","13.3","9.3","8.2"
"Warrington","10.6","7.0","6.7","11.3","9.3","10.1"
"Warwickshire","4.7","5.8","!","9.6","9.3","6.5"
"West Berkshire","8.9","8.1","0.0","10.8","8.4","9.0"
"West Sussex","10.7","8.7","4.1","11.3","10.2","8.3"
"Westminster","10.4","9.0","2.1","13.2","11.0","10.1"
"Wigan","9.5","2.5","2.5","10.7","10.5","11.8"
"Wiltshire","9.3","7.9","4.1","12.0","10.1","9.7"
"Windsor and Maidenhead","8.2","4.0","!","6.9","8.9","7.5"
"Wirral","9.4","8.0","2.3","13.9","13.2","13.5"
"Wokingham","7.6","6.6","2.7","10.2","8.5","12.6"
"Wolverhampton","6.6","7.4","6.7","14.4","13.3","15.0"
"Worcestershire","10.4","8.3","2.3","11.3","10.0","9.9"
"York","7.4","6.9","3.5","12.1","9.8","13.0"
