"","Asian","Black","Chinese","Mixed","White","Other"
"","%","%","%","%","%","%"
"Barking and Dagenham","4.5","2.6","2.4","5.0","5.6","4.3"
"Barnet","4.0","3.9","2.4","4.6","4.4","4.4"
"Barnsley","4.3","2.4","2.9","4.4","5.1","5.4"
"Bath and North East Somerset","4.7","6.3","3.4","5.4","4.7","4.7"
"Bedford","5.1","3.2","2.5","5.4","4.5","4.7"
"Bexley","3.6","2.2","2.3","4.5","5.0","3.7"
"Birmingham","5.0","3.7","2.4","5.5","5.4","4.3"
"Blackburn with Darwen","4.3","2.6","1.9","5.1","5.0","5.7"
"Blackpool","3.7","4.5","2.1","5.4","4.9","5.4"
"Bolton","3.9","2.3","2.8","5.4","5.0","5.7"
"Bournemouth","3.8","3.3","2.4","5.0","5.0","3.8"
"Bracknell Forest","3.5","2.3","2.3","4.5","4.2","3.7"
"Bradford","4.6","3.0","2.2","6.0","5.3","5.1"
"Brent","3.8","4.3","2.5","4.8","4.6","4.8"
"Brighton and Hove","4.6","4.1","2.4","5.1","5.1","5.3"
"Bristol, City of","5.3","4.6","2.4","5.6","5.3","5.4"
"Bromley","3.8","3.1","2.8","4.4","4.4","4.4"
"Buckinghamshire","5.2","3.7","2.9","4.9","4.4","4.4"
"Bury","5.7","2.8","2.6","5.2","4.7","5.3"
"Calderdale","4.5","3.1","3.2","4.9","4.3","4.3"
"Cambridgeshire","4.3","3.9","2.4","4.4","4.4","4.4"
"Camden","5.7","4.1","3.2","5.3","5.2","4.9"
"Central Bedfordshire","4.5","3.3","2.2","4.7","4.7","5.2"
"Cheshire East","4.2","4.2","2.1","4.6","4.3","4.8"
"Cheshire West and Chester","4.4","3.2","2.8","4.6","4.6","4.0"
"City of London","3.1","2.5","!","1.8","2.4","1.6"
"Cornwall","5.1","3.7","4.0","5.1","4.8","5.7"
"County Durham","3.9","2.5","2.2","5.4","5.1","4.8"
"Coventry","4.4","3.7","2.1","5.0","5.1","4.5"
"Croydon","4.0","3.8","3.1","4.3","4.7","4.7"
"Cumbria","4.8","2.7","3.1","4.8","5.3","5.3"
"Darlington","4.5","3.0","2.8","5.8","5.1","4.9"
"Derby","4.3","3.8","2.0","4.9","4.5","4.6"
