"Title","Persistent absence by ethnicity and type of school"
"Location","England"
"Time period","2016/17"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","20/06/2018"

"school_type","Ethnicity","%","Enrolments"
"Primary","All","8.3","325,230"
"Primary","Asian","8.5","35,675"
"Primary","Bangladeshi","9.3","6,020"
"Primary","Indian","5.7","6,580"
"Primary","Pakistani","10.9","18,300"
"Primary","Asian other","6.7","4,780"
"Primary","Black","5.8","12,995"
"Primary","Black African","4.2","6,350"
"Primary","Black Caribbean","10.7","4,460"
"Primary","Black other","7.2","2,185"
"Primary","Chinese","2.9","525"
"Primary","Mixed","10.0","23,250"
"Primary","Mixed White/Asian","8.1","4,415"
"Primary","Mixed White/Black African","8.1","2,640"
"Primary","Mixed White/Black Caribbean","13.5","8,220"
"Primary","Mixed other","9.4","7,975"
"Primary","White","8.3","239,865"
"Primary","White British","7.8","201,695"
"Primary","White Irish","12.2","1,275"
"Primary","Gypsy/Roma","46.5","7,685"
"Primary","Irish traveller","65.1","2,895"
"Primary","White other","9.8","26,315"
"Primary","Other","8.7","6,560"
"Primary","Unknown","13.6","6,360"
"Secondary","All","13.5","392,200"
"Secondary","Asian","9.4","28,155"
"Secondary","Bangladeshi","9.0","4,485"
"Secondary","Indian","6.0","4,770"
"Secondary","Pakistani","12.7","15,435"
"Secondary","Asian other","7.2","3,465"
"Secondary","Black","8.3","13,435"
"Secondary","Black African","5.8","5,905"
"Secondary","Black Caribbean","14.2","5,525"
"Secondary","Black other","10.0","2,005"
"Secondary","Chinese","3.0","305"
"Secondary","Mixed","15.4","22,285"
"Secondary","Mixed White/Asian","12.5","4,100"
"Secondary","Mixed White/Black African","13.7","2,470"
"Secondary","Mixed White/Black Caribbean","20.4","8,550"
"Secondary","Mixed other","13.8","7,160"
"Secondary","White","14.4","313,435"
"Secondary","White British","14.2","286,070"
"Secondary","White Irish","16.2","1,455"
"Secondary","Gypsy/Roma","54.0","4,655"
"Secondary","Irish traveller","59.5","725"
"Secondary","White other","13.8","20,530"
"Secondary","Other","10.5","5,110"
"Secondary","Unknown","18.1","9,475"
"Special","All","28.5","26,850"
"Special","Asian","34.3","3,070"
"Special","Bangladeshi","35.9","535"
"Special","Indian","28.3","465"
"Special","Pakistani","37.6","1,615"
"Special","Asian other","29.9","455"
"Special","Black","21.9","1,430"
"Special","Black African","18.4","735"
"Special","Black Caribbean","29.3","435"
"Special","Black other","25.0","255"
"Special","Chinese","14.2","40"
"Special","Mixed","29.9","1,610"
"Special","Mixed White/Asian","27.1","255"
"Special","Mixed White/Black African","24.3","170"
"Special","Mixed White/Black Caribbean","34.0","575"
"Special","Mixed other","29.8","605"
"Special","White","28.0","19,575"
"Special","White British","27.6","18,145"
"Special","White Irish","37.1","100"
"Special","Gypsy/Roma","57.5","205"
"Special","Irish traveller","66.1","80"
"Special","White other","30.7","1,050"
"Special","Other","32.5","475"
"Special","Unknown","38.7","650"
