"Measures","Time","Time_type","Ethnicity","Ethnicity_type","Geography2","Geography","school_type","Value","Denominator","Numerator"
"Overall absence rate","2016/17","Academic year","White Total","ONS 5+1","England","England","Total","4.8"," 1,830,414,315 "," 87,095,112 "
"Overall absence rate","2016/17","Academic year","White British","ONS 18+1","England","England","Total","4.7"," 1,667,704,159 "," 78,319,397 "
"Overall absence rate","2016/17","Academic year","White Irish","ONS 18+1","England","England","Total","5.5"," 6,955,294 "," 382,959 "
"Overall absence rate","2016/17","Academic year","Traveller of Irish Heritage","ONS 18+1","England","England","Total","18.1"," 1,719,528 "," 311,821 "
"Overall absence rate","2016/17","Academic year","Gypsy Roma","ONS 18+1","England","England","Total","12.9"," 8,026,834 "," 1,036,657 "
"Overall absence rate","2016/17","Academic year","Any other White background","ONS 18+1","England","England","Total","4.8"," 146,008,500 "," 7,044,278 "
"Overall absence rate","2016/17","Academic year","Mixed Total","ONS 5+1","England","England","Total","4.9"," 134,836,233 "," 6,607,319 "
"Overall absence rate","2016/17","Academic year","White and Black Caribbean","ONS 18+1","England","England","Total","5.8"," 36,648,770 "," 2,135,902 "
"Overall absence rate","2016/17","Academic year","White and Black African","ONS 18+1","England","England","Total","4.4"," 18,015,898 "," 792,182 "
"Overall absence rate","2016/17","Academic year","White and Asian","ONS 18+1","England","England","Total","4.4"," 31,431,433 "," 1,390,275 "
"Overall absence rate","2016/17","Academic year","Any other Mixed background","ONS 18+1","England","England","Total","4.7"," 48,740,132 "," 2,288,960 "
"Overall absence rate","2016/17","Academic year","Asian Total","ONS 5+1","England","England","Total","4.4"," 257,056,916 "," 11,407,391 "
"Overall absence rate","2016/17","Academic year","Indian","ONS 18+1","England","England","Total","3.6"," 69,350,356 "," 2,484,127 "
"Overall absence rate","2016/17","Academic year","Pakistani","ONS 18+1","England","England","Total","5.2"," 104,329,114 "," 5,388,241 "
"Overall absence rate","2016/17","Academic year","Bangladeshi","ONS 18+1","England","England","Total","4.7"," 41,243,198 "," 1,938,269 "
"Overall absence rate","2016/17","Academic year","Any other Asian background","ONS 18+1","England","England","Total","3.8"," 42,134,248 "," 1,596,754 "
"Overall absence rate","2016/17","Academic year","Black Total","ONS 5+1","England","England","Total","3.4"," 136,631,289 "," 4,644,815 "
"Overall absence rate","2016/17","Academic year","Black Caribbean","ONS 18+1","England","England","Total","4.8"," 28,733,701 "," 1,367,355 "
"Overall absence rate","2016/17","Academic year","Black African","ONS 18+1","England","England","Total","2.9"," 89,999,216 "," 2,606,489 "
