"Title","Self-inflicted deaths in prison custody"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Value","Numerator"
"Number of self inflicted deaths per 1000","1999","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","76"
"Number of self inflicted deaths per 1000","2000","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","67"
"Number of self inflicted deaths per 1000","2001","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","61"
"Number of self inflicted deaths per 1000","2002","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","78"
"Number of self inflicted deaths per 1000","2003","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","72"
"Number of self inflicted deaths per 1000","2004","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","73"
"Number of self inflicted deaths per 1000","2005","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","57"
"Number of self inflicted deaths per 1000","2006","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","54"
"Number of self inflicted deaths per 1000","2007","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","65"
"Number of self inflicted deaths per 1000","2008","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","49"
"Number of self inflicted deaths per 1000","2009","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","53"
"Number of self inflicted deaths per 1000","2010","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","50"
"Number of self inflicted deaths per 1000","2011","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","49"
"Number of self inflicted deaths per 1000","2012","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","48"
"Number of self inflicted deaths per 1000","2013","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","58"
"Number of self inflicted deaths per 1000","2014","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","77"
"Number of self inflicted deaths per 1000","2015","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","73"
"Number of self inflicted deaths per 1000","1999","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2000","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2001","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2002","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2003","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2004","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2005","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2006","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2007","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","6"
"Number of self inflicted deaths per 1000","2008","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2009","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2010","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2011","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2012","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2013","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","6"
"Number of self inflicted deaths per 1000","2014","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2015","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","1999","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2000","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2001","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2002","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2003","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2004","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2005","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2006","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2007","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2008","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2009","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2011","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2012","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2013","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","8"
"Number of self inflicted deaths per 1000","2014","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2015","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","1999","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
