"Title","Economic inactivity by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","January 2004"

"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","24","24","23","23","23","23","24","24","23","23","23","22","22"
"Indian","27","26","25","26","26","25","24","N/A","23","24","24","24","23"
"Pakistani/Bangladeshi","49","49","48","48","46","44","44","N/A","42","41","40","40","39"
"Asian other","36","36","34","33","31","32","36","N/A","34","36","33","32","34"
"Black","31","30","28","28","28","29","28","N/A","27","26","27","26","25"
"Mixed","29","30","27","28","31","30","28","N/A","29","26","28","28","28"
"White British","22","22","22","22","22","22","23","N/A","22","22","22","21","21"
"White other","25","23","21","21","21","21","21","N/A","20","19","19","17","17"
"Other","38","36","36","36","35","36","35","N/A","35","35","37","35","34"
