"Title","People claiming Income Support by ethnicity and region"
"Location","England and Wales"
"Time period","2015"
"Data source","Nomis"
"Data source link","http://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","May 2017"

"Standard Ethnicity","Region","%"
"All","East","1.5"
"All","East Midlands","1.7"
"All","London","1.7"
"All","North East","2.6"
"All","North West","2.2"
"All","South East","1.3"
"All","South West","1.5"
"All","Wales","2.3"
"All","West Midlands","2.2"
"All","Yorkshire and The Humber","2.0"
"White","East","1.3"
"White","East Midlands","1.5"
"White","London","1.3"
"White","North East","2.3"
"White","North West","1.9"
"White","South East","1.2"
"White","South West","1.3"
"White","Wales","2.0"
"White","West Midlands","1.8"
"White","Yorkshire and The Humber","1.8"
"Other","East","1.0"
"Other","East Midlands","1.3"
"Other","London","1.8"
"Other","North East","1.0"
"Other","North West","1.6"
"Other","South East","0.8"
"Other","South West","1.0"
"Other","Wales","1.0"
"Other","West Midlands","1.9"
"Other","Yorkshire and The Humber","1.8"
