"Title","Writing attainments for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Expected standard","Higher standard","Progress score"
"% of pupils reaching score in writing","England","All","E92000001","All - England's average","DFE","74","15","0"
"% of pupils reaching score in writing","England","All","E92000001","White","DFE","73","15","-0.3"
"% of pupils reaching score in writing","England","All","E92000001","White - British","DFE","74","15","-0.4"
"% of pupils reaching score in writing","England","All","E92000001","White - Irish","DFE","79","21","0.4"
"% of pupils reaching score in writing","England","All","E92000001","White - Irish Traveller","DFE","35","3","-1.4"
"% of pupils reaching score in writing","England","All","E92000001","White - Gypsy/Roma","DFE","29","1","-0.6"
"% of pupils reaching score in writing","England","All","E92000001","White - Any other","DFE","68","13","1.7"
"% of pupils reaching score in writing","England","All","E92000001","Mixed","DFE","76","16","0.3"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - White and Black - Caribbean","DFE","72","12","-0.2"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - White and Black - African","DFE","76","15","0.5"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - White and Asian","DFE","81","21","0.5"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - Any other ","DFE","77","18","0.6"
"% of pupils reaching score in writing","England","All","E92000001","Asian / Asian British","DFE","77","16","1.1"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Indian","DFE","82","21","1"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Pakistani","DFE","73","11","0.8"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Bangladeshi","DFE","80","17","2"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Any other","DFE","79","19","1.4"
"% of pupils reaching score in writing","England","All","E92000001","Black / African / Caribbean / Black British","DFE","75","14","1.2"
"% of pupils reaching score in writing","England","All","E92000001","Black - Caribbean","DFE","70","10","0.2"
"% of pupils reaching score in writing","England","All","E92000001","Black - African","DFE","77","16","1.5"
"% of pupils reaching score in writing","England","All","E92000001","Black - Any other ","DFE","73","13","1.3"
"% of pupils reaching score in writing","England","All","E92000001","Chinese","DFE","84","29","1.8"
"% of pupils reaching score in writing","England","All","E92000001","Other","DFE","71","13","1.6"
"% of pupils reaching score in writing","England","All","E92000001","Unclassified","DFE","60","11","-0.4"
