"Title","Writing attainments for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Higher","Scaled score"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","All","DFE","Boys","68","11","-0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White","DFE","Boys","67","11","-1.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - British","DFE","Boys","68","11","-1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish","DFE","Boys","72","15","-0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish Traveller","DFE","Boys","25","!","-2.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Gypsy/Roma","DFE","Boys","22","!","-1.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Any other","DFE","Boys","62","10","0.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed","DFE","Boys","70","12","-0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - Caribbean","DFE","Boys","64","8","-1.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - African","DFE","Boys","69","12","-0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Asian","DFE","Boys","75","16","-0.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - Any other ","DFE","Boys","71","13","-0.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian / Asian British","DFE","Boys","72","12","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Indian","DFE","Boys","77","17","0.4"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Pakistani","DFE","Boys","67","8","0.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Bangladeshi","DFE","Boys","75","12","1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Any other","DFE","Boys","74","15","0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black / African / Caribbean / Black British","DFE","Boys","69","10","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Caribbean","DFE","Boys","63","7","-0.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - African","DFE","Boys","72","12","0.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Any other ","DFE","Boys","66","9","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Chinese","DFE","Boys","79","21","0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Other","DFE","Boys","66","10","0.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Unknown","DFE","Boys","55","8","-1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","All","DFE","Girls","81","19","0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White","DFE","Girls","80","19","0.6"
