"Title","Children meeting the expected standard in writing at key stage 2 (ages 7 to 11) by ethnicity"
"Location","England
"
"Time period","2015 to 2016"
"Data source","Key stage 2 Attainment and Progress Data  https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Expected standard","Higher standard","Progress score"
"% of pupils reaching score in writing","England","All","E92000001","All - England's average","ONS 18+1","74","15","0"
"% of pupils reaching score in writing","England","All","E92000001","White","ONS 18+1","73","15","-0.3"
"% of pupils reaching score in writing","England","All","E92000001","White - British","ONS 18+1","74","15","-0.4"
"% of pupils reaching score in writing","England","All","E92000001","White - Irish","ONS 18+1","79","21","0.4"
"% of pupils reaching score in writing","England","All","E92000001","White - Irish Traveller","ONS 18+1","35","3","-1.4"
"% of pupils reaching score in writing","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","29","1","-0.6"
"% of pupils reaching score in writing","England","All","E92000001","White - Any other","ONS 18+1","68","13","1.7"
"% of pupils reaching score in writing","England","All","E92000001","Mixed / Multiple ethnic groups","ONS 18+1","76","16","0.3"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - White and Black - Caribbean","ONS 18+1","72","12","-0.2"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - White and Black - African","ONS 18+1","76","15","0.5"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - White and Asian","ONS 18+1","81","21","0.5"
"% of pupils reaching score in writing","England","All","E92000001","Mixed - Any other ","ONS 18+1","77","18","0.6"
"% of pupils reaching score in writing","England","All","E92000001","Asian / Asian British","ONS 18+1","77","16","1.1"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Indian","ONS 18+1","82","21","1"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Pakistani","ONS 18+1","73","11","0.8"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","80","17","2"
"% of pupils reaching score in writing","England","All","E92000001","Asian - Any other","ONS 18+1","79","19","1.4"
"% of pupils reaching score in writing","England","All","E92000001","Black / African / Caribbean / Black British","ONS 18+1","75","14","1.2"
"% of pupils reaching score in writing","England","All","E92000001","Black - Caribbean","ONS 18+1","70","10","0.2"
"% of pupils reaching score in writing","England","All","E92000001","Black - African","ONS 18+1","77","16","1.5"
"% of pupils reaching score in writing","England","All","E92000001","Black - Any other ","ONS 18+1","73","13","1.3"
"% of pupils reaching score in writing","England","All","E92000001","Chinese","ONS 18+1","84","29","1.8"
"% of pupils reaching score in writing","England","All","E92000001","Other - Any other","ONS 18+1","71","13","1.6"
"% of pupils reaching score in writing","England","All","E92000001","Unclassified","ONS 18+1","60","11","0"
