"Measure","Time","Time_type","Ethnicity_type","Ethnicity","Geography","Numerator","Value","Denominator","Sample_size"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","White British","England","703","3.7","19010","9868"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Irish","England","7","3.4","192","109"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Gypsy or Irish Traveller","England","?","?","?","3"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Other","England","62","5.5","1129","610"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Black Caribbean","England","5","4.8","96","50"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Black African","England","8","10.5","74","52"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Asian","England","?","?","?","28"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed Other","England","0","0","69","30"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Indian","England","22","4.8","463","188"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Pakistani","England","33","9.9","331","142"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Bangladeshi","England","11","8.2","135","76"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Chinese","England","0","0","87","36"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Asian Other","England","25","11.1","224","97"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black African","England","32","7.6","414","280"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black Caribbean","England","14","4.2","334","169"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black Other","England","?","?","?","15"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Arab","England","10","11.3","85","45"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","ONS 2011 18+1","Any Other","England","14","5.7","247","121"
