"","White","White British","White Irish","White Gypsy/Traveller","White other"
"Age group","%","%","%","%","%"
"White","","","","",""
"Age 0 to 4","5.6","5.6","1.7","10.5","6.6"
"Age 5 to 9","5.1","5.2","1.7","9.5","4.3"
"Age 10 to 14","5.5","5.6","1.9","9.9","3.8"
"Age 15 to 17","3.6","3.7","1.2","5.9","2.2"
"Age 18 to 24","8.9","8.9","5.4","11.4","10.5"
"Age 25 to 29","6.4","5.8","5.7","7.6","16.2"
"Age 30 to 34","6.1","5.6","5.9","7.0","15.7"
"Age 35 to 39","6.4","6.2","6.1","6.8","10.8"
"Age 40 to 44","7.3","7.3","7.4","7.0","7.6"
"Age 45 to 49","7.5","7.6","8.0","6.5","5.7"
"Age 50 to 54","6.7","6.8","7.4","5.1","4.5"
"Age 55 to 59","6.1","6.2","7.9","3.8","3.3"
"Age 60 to 64","6.6","6.8","8.9","3.2","2.7"
"Age 65 to 69","5.3","5.4","8.8","2.2","1.8"
"Age 70 to 74","4.3","4.4","8.0","1.7","1.5"
"Age 75 to 79","3.5","3.6","6.4","1.1","1.1"
"Age 80 to 84","2.7","2.8","4.3","0.6","0.9"
"Age 85 and over","2.5","2.6","3.2","0.4","0.9"
