"Title","Asian ethnic groups: age profile"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"","Asian","Bangladeshi","Chinese","Indian","Pakistani","Asian other"
"Age group","%","%","%","%","%","%"
"Asian","","","","","",""
"Age 0 to 4","8.7","11.4","4.7","7.0","11.5","8.0"
"Age 5 to 9","7.7","11.4","3.3","5.8","10.7","6.9"
"Age 10 to 14","6.9","10.1","3.8","5.3","9.0","6.5"
"Age 15 to 17","4.2","5.4","3.9","3.3","5.0","4.0"
"Age 18 to 24","12.9","13.1","25.2","11.0","12.0","11.4"
"Age 25 to 29","10.7","10.5","12.2","11.2","10.3","9.7"
"Age 30 to 34","10.7","10.1","9.8","11.2","10.2","11.0"
"Age 35 to 39","9.0","8.6","7.7","8.9","7.8","11.5"
"Age 40 to 44","7.1","5.8","6.3","7.2","6.4","8.7"
"Age 45 to 49","5.2","3.6","5.8","6.1","3.9","6.2"
"Age 50 to 54","4.7","2.9","5.1","5.9","3.7","4.8"
"Age 55 to 59","4.0","2.3","4.2","5.2","3.1","3.7"
"Age 60 to 64","2.8","1.2","3.0","3.8","1.8","2.9"
"Age 65 to 69","1.8","1.0","1.6","2.6","1.3","1.8"
"Age 70 to 74","1.7","1.4","1.4","2.4","1.4","1.3"
"Age 75 to 79","1.2","0.8","1.0","1.7","1.0","0.8"
"Age 80 to 84","0.6","0.4","0.6","0.9","0.5","0.4"
"Age 85 and over","0.4","0.1","0.4","0.6","0.2","0.3"
