"Standard Ethnicity","Age group","%"
"White","White",""
"White","Age 0 to 4","5.6"
"White","Age 5 to 9","5.1"
"White","Age 10 to 14","5.5"
"White","Age 15 to 17","3.6"
"White","Age 18 to 24","8.9"
"White","Age 25 to 29","6.4"
"White","Age 30 to 34","6.1"
"White","Age 35 to 39","6.4"
"White","Age 40 to 44","7.3"
"White","Age 45 to 49","7.5"
"White","Age 50 to 54","6.7"
"White","Age 55 to 59","6.1"
"White","Age 60 to 64","6.6"
"White","Age 65 to 69","5.3"
"White","Age 70 to 74","4.3"
"White","Age 75 to 79","3.5"
"White","Age 80 to 84","2.7"
"White","Age 85 and over","2.5"
"White British","White",""
"White British","Age 0 to 4","5.6"
"White British","Age 5 to 9","5.2"
"White British","Age 10 to 14","5.6"
"White British","Age 15 to 17","3.7"
"White British","Age 18 to 24","8.9"
"White British","Age 25 to 29","5.8"
"White British","Age 30 to 34","5.6"
"White British","Age 35 to 39","6.2"
"White British","Age 40 to 44","7.3"
"White British","Age 45 to 49","7.6"
"White British","Age 50 to 54","6.8"
"White British","Age 55 to 59","6.2"
"White British","Age 60 to 64","6.8"
"White British","Age 65 to 69","5.4"
"White British","Age 70 to 74","4.4"
"White British","Age 75 to 79","3.6"
"White British","Age 80 to 84","2.8"
"White British","Age 85 and over","2.6"
"White Irish","White",""
"White Irish","Age 0 to 4","1.7"
"White Irish","Age 5 to 9","1.7"
"White Irish","Age 10 to 14","1.9"
"White Irish","Age 15 to 17","1.2"
"White Irish","Age 18 to 24","5.4"
"White Irish","Age 25 to 29","5.7"
"White Irish","Age 30 to 34","5.9"
"White Irish","Age 35 to 39","6.1"
"White Irish","Age 40 to 44","7.4"
"White Irish","Age 45 to 49","8.0"
"White Irish","Age 50 to 54","7.4"
"White Irish","Age 55 to 59","7.9"
"White Irish","Age 60 to 64","8.9"
"White Irish","Age 65 to 69","8.8"
"White Irish","Age 70 to 74","8.0"
"White Irish","Age 75 to 79","6.4"
"White Irish","Age 80 to 84","4.3"
"White Irish","Age 85 and over","3.2"
"White Gypsy/Traveller","White",""
"White Gypsy/Traveller","Age 0 to 4","10.5"
"White Gypsy/Traveller","Age 5 to 9","9.5"
"White Gypsy/Traveller","Age 10 to 14","9.9"
"White Gypsy/Traveller","Age 15 to 17","5.9"
"White Gypsy/Traveller","Age 18 to 24","11.4"
"White Gypsy/Traveller","Age 25 to 29","7.6"
"White Gypsy/Traveller","Age 30 to 34","7.0"
"White Gypsy/Traveller","Age 35 to 39","6.8"
"White Gypsy/Traveller","Age 40 to 44","7.0"
"White Gypsy/Traveller","Age 45 to 49","6.5"
"White Gypsy/Traveller","Age 50 to 54","5.1"
"White Gypsy/Traveller","Age 55 to 59","3.8"
"White Gypsy/Traveller","Age 60 to 64","3.2"
"White Gypsy/Traveller","Age 65 to 69","2.2"
"White Gypsy/Traveller","Age 70 to 74","1.7"
"White Gypsy/Traveller","Age 75 to 79","1.1"
"White Gypsy/Traveller","Age 80 to 84","0.6"
"White Gypsy/Traveller","Age 85 and over","0.4"
"White other","White",""
"White other","Age 0 to 4","6.6"
"White other","Age 5 to 9","4.3"
"White other","Age 10 to 14","3.8"
"White other","Age 15 to 17","2.2"
"White other","Age 18 to 24","10.5"
"White other","Age 25 to 29","16.2"
"White other","Age 30 to 34","15.7"
"White other","Age 35 to 39","10.8"
"White other","Age 40 to 44","7.6"
"White other","Age 45 to 49","5.7"
"White other","Age 50 to 54","4.5"
"White other","Age 55 to 59","3.3"
"White other","Age 60 to 64","2.7"
"White other","Age 65 to 69","1.8"
"White other","Age 70 to 74","1.5"
"White other","Age 75 to 79","1.1"
"White other","Age 80 to 84","0.9"
"White other","Age 85 and over","0.9"
