"Title","Asian ethnic groups: age profile"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"Standard Ethnicity","Age group","%"
"Asian","Asian",""
"Asian","Age 0 to 4","8.7"
"Asian","Age 5 to 9","7.7"
"Asian","Age 10 to 14","6.9"
"Asian","Age 15 to 17","4.2"
"Asian","Age 18 to 24","12.9"
"Asian","Age 25 to 29","10.7"
"Asian","Age 30 to 34","10.7"
"Asian","Age 35 to 39","9.0"
"Asian","Age 40 to 44","7.1"
"Asian","Age 45 to 49","5.2"
"Asian","Age 50 to 54","4.7"
"Asian","Age 55 to 59","4.0"
"Asian","Age 60 to 64","2.8"
"Asian","Age 65 to 69","1.8"
"Asian","Age 70 to 74","1.7"
"Asian","Age 75 to 79","1.2"
"Asian","Age 80 to 84","0.6"
"Asian","Age 85 and over","0.4"
"Bangladeshi","Asian",""
"Bangladeshi","Age 0 to 4","11.4"
"Bangladeshi","Age 5 to 9","11.4"
"Bangladeshi","Age 10 to 14","10.1"
"Bangladeshi","Age 15 to 17","5.4"
"Bangladeshi","Age 18 to 24","13.1"
"Bangladeshi","Age 25 to 29","10.5"
"Bangladeshi","Age 30 to 34","10.1"
"Bangladeshi","Age 35 to 39","8.6"
"Bangladeshi","Age 40 to 44","5.8"
"Bangladeshi","Age 45 to 49","3.6"
"Bangladeshi","Age 50 to 54","2.9"
"Bangladeshi","Age 55 to 59","2.3"
"Bangladeshi","Age 60 to 64","1.2"
"Bangladeshi","Age 65 to 69","1.0"
"Bangladeshi","Age 70 to 74","1.4"
"Bangladeshi","Age 75 to 79","0.8"
"Bangladeshi","Age 80 to 84","0.4"
"Bangladeshi","Age 85 and over","0.1"
"Chinese","Asian",""
"Chinese","Age 0 to 4","4.7"
"Chinese","Age 5 to 9","3.3"
"Chinese","Age 10 to 14","3.8"
"Chinese","Age 15 to 17","3.9"
"Chinese","Age 18 to 24","25.2"
"Chinese","Age 25 to 29","12.2"
"Chinese","Age 30 to 34","9.8"
"Chinese","Age 35 to 39","7.7"
"Chinese","Age 40 to 44","6.3"
"Chinese","Age 45 to 49","5.8"
"Chinese","Age 50 to 54","5.1"
"Chinese","Age 55 to 59","4.2"
"Chinese","Age 60 to 64","3.0"
"Chinese","Age 65 to 69","1.6"
"Chinese","Age 70 to 74","1.4"
"Chinese","Age 75 to 79","1.0"
"Chinese","Age 80 to 84","0.6"
"Chinese","Age 85 and over","0.4"
"Indian","Asian",""
"Indian","Age 0 to 4","7.0"
"Indian","Age 5 to 9","5.8"
"Indian","Age 10 to 14","5.3"
"Indian","Age 15 to 17","3.3"
"Indian","Age 18 to 24","11.0"
"Indian","Age 25 to 29","11.2"
"Indian","Age 30 to 34","11.2"
"Indian","Age 35 to 39","8.9"
"Indian","Age 40 to 44","7.2"
"Indian","Age 45 to 49","6.1"
"Indian","Age 50 to 54","5.9"
"Indian","Age 55 to 59","5.2"
"Indian","Age 60 to 64","3.8"
"Indian","Age 65 to 69","2.6"
"Indian","Age 70 to 74","2.4"
"Indian","Age 75 to 79","1.7"
"Indian","Age 80 to 84","0.9"
"Indian","Age 85 and over","0.6"
"Pakistani","Asian",""
"Pakistani","Age 0 to 4","11.5"
"Pakistani","Age 5 to 9","10.7"
"Pakistani","Age 10 to 14","9.0"
"Pakistani","Age 15 to 17","5.0"
"Pakistani","Age 18 to 24","12.0"
"Pakistani","Age 25 to 29","10.3"
"Pakistani","Age 30 to 34","10.2"
"Pakistani","Age 35 to 39","7.8"
"Pakistani","Age 40 to 44","6.4"
"Pakistani","Age 45 to 49","3.9"
"Pakistani","Age 50 to 54","3.7"
"Pakistani","Age 55 to 59","3.1"
"Pakistani","Age 60 to 64","1.8"
"Pakistani","Age 65 to 69","1.3"
"Pakistani","Age 70 to 74","1.4"
"Pakistani","Age 75 to 79","1.0"
"Pakistani","Age 80 to 84","0.5"
"Pakistani","Age 85 and over","0.2"
"Asian other","Asian",""
"Asian other","Age 0 to 4","8.0"
"Asian other","Age 5 to 9","6.9"
"Asian other","Age 10 to 14","6.5"
"Asian other","Age 15 to 17","4.0"
"Asian other","Age 18 to 24","11.4"
"Asian other","Age 25 to 29","9.7"
"Asian other","Age 30 to 34","11.0"
"Asian other","Age 35 to 39","11.5"
"Asian other","Age 40 to 44","8.7"
"Asian other","Age 45 to 49","6.2"
"Asian other","Age 50 to 54","4.8"
"Asian other","Age 55 to 59","3.7"
"Asian other","Age 60 to 64","2.9"
"Asian other","Age 65 to 69","1.8"
"Asian other","Age 70 to 74","1.3"
"Asian other","Age 75 to 79","0.8"
"Asian other","Age 80 to 84","0.4"
"Asian other","Age 85 and over","0.3"
