"","Other","Arab","Any other"
"Age group","%","%","%"
"Other","","",""
"Age 0 to 4","8.9","11.2","7.3"
"Age 5 to 9","7.4","9.2","6.1"
"Age 10 to 14","6.3","6.9","5.9"
"Age 15 to 17","3.9","3.8","3.9"
"Age 18 to 24","12.1","13.2","11.3"
"Age 25 to 29","11.4","11.4","11.4"
"Age 30 to 34","11.6","10.7","12.2"
"Age 35 to 39","9.6","9.0","10.0"
"Age 40 to 44","7.6","7.2","7.9"
"Age 45 to 49","5.9","5.3","6.4"
"Age 50 to 54","4.6","3.9","5.1"
"Age 55 to 59","3.5","2.8","4.1"
"Age 60 to 64","2.5","2.0","2.9"
"Age 65 to 69","1.7","1.3","1.9"
"Age 70 to 74","1.2","0.9","1.4"
"Age 75 to 79","0.8","0.6","1.0"
"Age 80 to 84","0.5","0.4","0.7"
"Age 85 and over","0.4","0.2","0.5"
