"Title","Ethnic groups by sex"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"Gender","Ethnicity","%"
"Male","All","49"
"Male","Asian","50"
"Male","Bangladeshi","52"
"Male","Chinese","47"
"Male","Indian","51"
"Male","Pakistani","51"
"Male","Asian other","49"
"Male","Black","48"
"Male","Black African","48"
"Male","Black Caribbean","47"
"Male","Black other","50"
"Male","Mixed","50"
"Male","Mixed White/Asian","51"
"Male","Mixed White/Black African","50"
"Male","Mixed White/Black Caribbean","50"
"Male","Mixed other","49"
"Male","White","49"
"Male","White British","49"
"Male","White Irish","48"
"Male","White Gypsy/Traveller","50"
"Male","White other","47"
"Male","Other","55"
"Male","Arab","58"
"Male","Any other","54"
"Female","All","51"
"Female","Asian","50"
"Female","Bangladeshi","48"
"Female","Chinese","53"
"Female","Indian","49"
"Female","Pakistani","49"
"Female","Asian other","51"
"Female","Black","52"
"Female","Black African","52"
"Female","Black Caribbean","53"
"Female","Black other","50"
"Female","Mixed","50"
"Female","Mixed White/Asian","49"
"Female","Mixed White/Black African","50"
"Female","Mixed White/Black Caribbean","50"
"Female","Mixed other","51"
"Female","White","51"
"Female","White British","51"
"Female","White Irish","52"
"Female","White Gypsy/Traveller","50"
"Female","White other","53"
"Female","Other","45"
"Female","Arab","42"
"Female","Any other","46"
