"Title","Ethnic groups by sex"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","17/12/2012"

"","Male","Female"
"Ethnicity","%","%"
"All","49","51"
"Asian","50","50"
"Bangladeshi","52","48"
"Chinese","47","53"
"Indian","51","49"
"Pakistani","51","49"
"Asian other","49","51"
"Black","48","52"
"Black African","48","52"
"Black Caribbean","47","53"
"Black other","50","50"
"Mixed","50","50"
"Mixed White/Asian","51","49"
"Mixed White/Black African","50","50"
"Mixed White/Black Caribbean","50","50"
"Mixed other","49","51"
"White","49","51"
"White British","49","51"
"White Irish","48","52"
"White Gypsy/Traveller","50","50"
"White other","47","53"
"Other","55","45"
"Arab","58","42"
"Any other","54","46"
