"Measure","Time","Ethnicity","Ethnicity_Type","Gender","Gender_type","Value","Value_note","Source"
"Ethnic groups by sex","2011","All Ethnic groups","ONS 18+1","Male","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White","ONS 5+1","Male","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - British","ONS 18+1","Male","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - Irish","ONS 18+1","Male","male/female","48","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - Gypsy or Irish Traveller","ONS 18+1","Male","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - Any other","ONS 18+1","Male","male/female","47","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed","ONS 5+1","Male","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - White and Black Caribbean","ONS 18+1","Male","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - White and Black African","ONS 18+1","Male","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - White and Asian","ONS 18+1","Male","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - Any other","ONS 18+1","Male","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian","ONS 5+1","Male","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Indian","ONS 18+1","Male","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Pakistani","ONS 18+1","Male","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Bangladeshi","ONS 18+1","Male","male/female","52","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Chinese","ONS 18+1","Male","male/female","47","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Any other","ONS 18+1","Male","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black","ONS 5+1","Male","male/female","48","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black - African","ONS 18+1","Male","male/female","48","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black - Caribbean","ONS 18+1","Male","male/female","47","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black - Any other","ONS 18+1","Male","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Other","ONS 5+1","Male","male/female","55","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Other - Arab","ONS 18+1","Male","male/female","58","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Other - Any other","ONS 18+1","Male","male/female","54","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","All Ethnic groups","ONS 18+1","Female","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White","ONS 5+1","Female","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - British","ONS 18+1","Female","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - Irish","ONS 18+1","Female","male/female","52","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - Gypsy or Irish Traveller","ONS 18+1","Female","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","White - Any other","ONS 18+1","Female","male/female","53","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed","ONS 5+1","Female","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - White and Black Caribbean","ONS 18+1","Female","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - White and Black African","ONS 18+1","Female","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - White and Asian","ONS 18+1","Female","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Mixed - Any other","ONS 18+1","Female","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian","ONS 5+1","Female","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Indian","ONS 18+1","Female","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Pakistani","ONS 18+1","Female","male/female","49","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Bangladeshi","ONS 18+1","Female","male/female","48","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Chinese","ONS 18+1","Female","male/female","53","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Asian - Any other","ONS 18+1","Female","male/female","51","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black","ONS 5+1","Female","male/female","52","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black - African","ONS 18+1","Female","male/female","52","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black - Caribbean","ONS 18+1","Female","male/female","53","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Black - Any other","ONS 18+1","Female","male/female","50","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Other","ONS 5+1","Female","male/female","45","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Other - Arab","ONS 18+1","Female","male/female","42","% of ethnic group","2011 census"
"Ethnic groups by sex","2011","Other - Any other","ONS 18+1","Female","male/female","46","% of ethnic group","2011 census"
