"Title","Customer satisfaction with Department for Work and Pensions services"
"Location","England, Wales and Scotland"
"Time period","2014/15 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/publications/dwp-claimant-service-and-experience-survey-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","July 2017"
"Ethnicity","Ethnicity_type","Year","Year_type","Measure","Measure_type","Value","Value_type","Denominator","Numerator"
"White","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","83","Percentage","12326","10207"
"White Other","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","82","Percentage","365","299"
"Asian","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","84","Percentage","793","665"
"Black","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","75","Percentage","736","555"
"Mixed","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","82","Percentage","302","249"
"Other","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","73","Percentage","222","162"
"Unreported","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","-","Percentage","-","-"
"White","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","16","Percentage","12326","1950"
"White Other","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","15","Percentage","365","56"
"Asian","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","15","Percentage","793","120"
"Black","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","22","Percentage","736","163"
"Mixed","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","17","Percentage","302","52"
"Other","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","23","Percentage","222","51"
"Unreported","ONS 5+2","14/15","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","-","Percentage","-","-"
"White","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","85","Percentage","12997","11011"
"White Other","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","79","Percentage","340","267"
"Asian","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","85","Percentage","766","650"
"Black","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","83","Percentage","750","623"
"Mixed","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","82","Percentage","388","317"
"Other","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","74","Percentage","219","163"
"Unreported","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","14","Percentage","168","102"
"White British","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","14","Percentage","12997","1796"
"White Other","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","18","Percentage","340","62"
"Asian","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","14","Percentage","766","106"
"Black","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","15","Percentage","750","113"
"Mixed","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","16","Percentage","388","62"
"Other","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","21","Percentage","219","47"
"Unreported","ONS 5+2","15/16","Financial year","Percentage of customers who are either 'fairly' or 'very' dissatisfied","Customer satisfaction (5 category)","27","Percentage","168","45"
"","","","","","","","","",""
"Please note:-","","","","","","","","",""
"1 -' White and white other' have been derived from a secondary tabulation of another questionnaire variable and been used to replace the aggregate value of 'White'.","","","","","","","","",""
"2 - There was not a match in weighted counts when deriving two 'white' labels for 14/15 from the single 'white' label","","","","","","","","",""
"3 - For 14/15 there was no unreported category","","","","","","","","",""
"4 - For 15/16 there was no unreported c ategory. It was derived by combining the values labels for unreported and Don't know.","","","","","","","","",""
"5 - When tabulating the aggregate values labels for satisfaction the value label for Don't know was omitted acros both of the years because is not I the faltfile specification.","","","","","","","","",""
