"Title","Maths attainment for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"All","70","17","103","0.0"
"Asian","75","23","104","1.7"
"Bangladeshi","75","20","104","1.8"
"Indian","82","33","106","2.3"
"Pakistani","67","16","103","0.9"
"Asian other","81","32","106","3.0"
"Black","68","14","103","0.6"
"Black African","72","16","103","1.2"
"Black Caribbean","60","8","101","-0.8"
"Black other","65","12","102","0.2"
"Chinese","92","50","109","4.5"
"Mixed","70","18","103","0.0"
"Mixed White/Asian","78","24","105","0.7"
"Mixed White/Black African","69","15","103","-0.1"
"Mixed White/Black Caribbean","63","11","101","-1.1"
"Mixed other","72","20","104","0.4"
"White","69","16","103","-0.3"
"White British","69","15","103","-0.5"
"White Irish","75","22","104","0.6"
"White Irish Traveller","33","3","97","-1.4"
"White Gypsy/Roma","26","1","96","-1.0"
"White other","70","18","103","2.3"
"Other","73","20","104","2.4"
"Unknown","59","14","102","-0.2"
