"Ethnicity","Type of School","%","Pupils"
"All","All state-funded schools","42.6","527,859"
"All","All state-funded mainstream schools","43.5","517,756"
"All","Local authority maintained mainstream schools","41.0","172,106"
"All","Academies and free schools","44.8","343,917"
"All","Sponsored academies","32.3","86,459"
"All","Converter academies","49.4","250,283"
"All","Free schools","47.7","3,362"
"All","University technical colleges","27.9","2,555"
"All","Studio schools","21.0","1,258"
"All","Further education colleges with provision for 14- to 16-year-olds","4.9","1,175"
"All","State-funded special schools","0.3","10,103"
"Asian","All state-funded schools","49.5","52,787"
"Asian","All state-funded mainstream schools","50.2","52,047"
"Asian","Local authority maintained mainstream schools","45.6","19,620"
"Asian","Academies and free schools","52.9","32,383"
"Asian","Sponsored academies","40.7","8,424"
"Asian","Converter academies","57.6","22,782"
"Asian","Free schools","57.6","847"
"Asian","University technical colleges","32.9","252"
"Asian","Studio schools","26.9","78"
"Asian","Further education colleges with provision for 14- to 16-year-olds","!","12"
"Asian","State-funded special schools","!","740"
"Black","All state-funded schools","38.4","27,922"
"Black","All state-funded mainstream schools","39.1","27,385"
"Black","Local authority maintained mainstream schools","37.0","10,604"
"Black","Academies and free schools","40.5","16,747"
"Black","Sponsored academies","34.9","6,204"
"Black","Converter academies","44.3","10,066"
"Black","Free schools","43.1","260"
"Black","University technical colleges","23.2","190"
"Black","Studio schools","29.6","27"
"Black","Further education colleges with provision for 14- to 16-year-olds","!","11"
"Black","State-funded special schools","!","537"
"Chinese","All state-funded schools","72.0","2,073"
"Chinese","All state-funded mainstream schools","72.7","2,053"
"Chinese","Local authority maintained mainstream schools","66.0","583"
"Chinese","Academies and free schools","75.3","1,466"
"Chinese","Sponsored academies","55.9","261"
"Chinese","Converter academies","80.1","1,183"
"Chinese","Free schools","47.4","19"
"Chinese","University technical colleges","!","!"
"Chinese","Studio schools","!","!"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","0"
"Chinese","State-funded special schools","!","20"
"Mixed","All state-funded schools","43.2","23,483"
"Mixed","All state-funded mainstream schools","44.0","23,009"
"Mixed","Local authority maintained mainstream schools","41.1","7,638"
"Mixed","Academies and free schools","45.5","15,314"
"Mixed","Sponsored academies","34.4","4,182"
"Mixed","Converter academies","50.1","10,770"
"Mixed","Free schools","44.4","196"
"Mixed","University technical colleges","21.7","120"
"Mixed","Studio schools","21.7","46"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","!","7"
"Mixed","State-funded special schools","!","474"
"White","All state-funded schools","42.0","406,342"
"White","All state-funded mainstream schools","42.8","398,259"
"White","Local authority maintained mainstream schools","40.5","128,774"
"White","Academies and free schools","43.9","268,974"
"White","Sponsored academies","30.6","64,659"
"White","Converter academies","48.5","199,607"
"White","Free schools","44.9","1,860"
"White","University technical colleges","28.2","1,802"
"White","Studio schools","19.9","1,046"
"White","Further education colleges with provision for 14- to 16-year-olds","6.4","78"
"White","State-funded special schools","0.3","8,083"
