"Title","Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Value_type","Denominator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","County Durham","Local Authority","E06000047","Boys","All pupils","32.3","%","2399"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Darlington","Local Authority","E06000005","Boys","All pupils","40.7","%","523"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Gateshead","Local Authority","E08000037","Boys","All pupils","36.7","%","993"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Hartlepool","Local Authority","E06000001","Boys","All pupils","35.0","%","503"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Middlesbrough","Local Authority","E06000002","Boys","All pupils","32.8","%","735"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Newcastle upon Tyne","Local Authority","E08000021","Boys","All pupils","32.2","%","1207"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","North Tyneside","Local Authority","E08000022","Boys","All pupils","39.9","%","1007"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Northumberland","Local Authority","E06000057","Boys","All pupils","37.2","%","1585"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Redcar and Cleveland","Local Authority","E06000003","Boys","All pupils","39.8","%","778"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","South Tyneside","Local Authority","E08000023","Boys","All pupils","30.9","%","763"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Stockton-on-Tees","Local Authority","E06000004","Boys","All pupils","39.7","%","937"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Sunderland","Local Authority","E08000024","Boys","All pupils","31.3","%","1441"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Blackburn with Darwen","Local Authority","E06000008","Boys","All pupils","39.3","%","881"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Blackpool","Local Authority","E06000009","Boys","All pupils","23.9","%","566"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bolton","Local Authority","E08000001","Boys","All pupils","35.4","%","1676"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bury","Local Authority","E08000002","Boys","All pupils","34.4","%","1090"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Cheshire East","Local Authority","E06000049","Boys","All pupils","45.3","%","1796"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Cheshire West and Chester","Local Authority","E06000050","Boys","All pupils","37.0","%","1761"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Cumbria","Local Authority","E10000006","Boys","All pupils","39.3","%","2445"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Halton","Local Authority","E06000006","Boys","All pupils","25.1","%","668"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Knowsley","Local Authority","E08000011","Boys","All pupils","26.0","%","520"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Lancashire","Local Authority","E10000017","Boys","All pupils","39.5","%","6210"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Liverpool","Local Authority","E08000012","Boys","All pupils","34.5","%","2238"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Manchester","Local Authority","E08000003","Boys","All pupils","30.6","%","2280"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Oldham","Local Authority","E08000004","Boys","All pupils","34.4","%","1496"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Rochdale","Local Authority","E08000005","Boys","All pupils","30.7","%","1157"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Salford","Local Authority","E08000006","Boys","All pupils","26.9","%","1028"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Sefton","Local Authority","E08000014","Boys","All pupils","34.9","%","1532"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","St. Helens","Local Authority","E08000013","Boys","All pupils","36.1","%","822"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Stockport","Local Authority","E08000007","Boys","All pupils","42.5","%","1313"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Tameside","Local Authority","E08000008","Boys","All pupils","36.3","%","1183"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Trafford","Local Authority","E08000009","Boys","All pupils","59.5","%","1390"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Warrington","Local Authority","E06000007","Boys","All pupils","42.2","%","1172"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Wigan","Local Authority","E08000010","Boys","All pupils","33.7","%","1701"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Wirral","Local Authority","E08000015","Boys","All pupils","41.7","%","1702"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Barnsley","Local Authority","E08000016","Boys","All pupils","35.9","%","1066"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bradford","Local Authority","E08000032","Boys","All pupils","33.4","%","2878"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Calderdale","Local Authority","E08000033","Boys","All pupils","43.3","%","1264"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Doncaster","Local Authority","E08000017","Boys","All pupils","36.4","%","1527"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","East Riding of Yorkshire","Local Authority","E06000011","Boys","All pupils","42.8","%","1669"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Kingston upon Hull, City of","Local Authority","E06000010","Boys","All pupils","27.5","%","1180"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Kirklees","Local Authority","E08000034","Boys","All pupils","37.1","%","2239"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Leeds","Local Authority","E08000035","Boys","All pupils","37.4","%","3799"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","North East Lincolnshire","Local Authority","E06000012","Boys","All pupils","32.8","%","806"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","North Lincolnshire","Local Authority","E06000013","Boys","All pupils","34.8","%","870"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","North Yorkshire","Local Authority","E10000023","Boys","All pupils","46.3","%","3023"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Rotherham","Local Authority","E08000018","Boys","All pupils","35.3","%","1529"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Sheffield","Local Authority","E08000019","Boys","All pupils","37.2","%","2624"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Wakefield","Local Authority","E08000036","Boys","All pupils","39.5","%","1699"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","York","Local Authority","E06000014","Boys","All pupils","45.0","%","833"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Derby","Local Authority","E06000015","Boys","All pupils","36.5","%","1450"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Derbyshire","Local Authority","E10000007","Boys","All pupils","38.8","%","3637"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Leicester","Local Authority","E06000016","Boys","All pupils","33.3","%","1737"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Leicestershire","Local Authority","E10000018","Boys","All pupils","42.2","%","3531"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Lincolnshire","Local Authority","E10000019","Boys","All pupils","39.9","%","3797"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Northamptonshire","Local Authority","E10000021","Boys","All pupils","38.0","%","3735"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Nottingham","Local Authority","E06000018","Boys","All pupils","28.8","%","1274"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Nottinghamshire","Local Authority","E10000024","Boys","All pupils","42.7","%","3749"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Rutland","Local Authority","E06000017","Boys","All pupils","56.7","%","245"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Birmingham","Local Authority","E08000025","Boys","All pupils","38.3","%","6016"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Coventry","Local Authority","E08000026","Boys","All pupils","33.7","%","1672"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Dudley","Local Authority","E08000027","Boys","All pupils","35.5","%","1823"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Herefordshire, County of","Local Authority","E06000019","Boys","All pupils","43.5","%","859"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Sandwell","Local Authority","E08000028","Boys","All pupils","28.1","%","1793"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Shropshire","Local Authority","E06000051","Boys","All pupils","39.0","%","1422"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Solihull","Local Authority","E08000029","Boys","All pupils","41.9","%","1469"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Staffordshire","Local Authority","E10000028","Boys","All pupils","35.5","%","4276"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Stoke-on-Trent","Local Authority","E06000021","Boys","All pupils","28.0","%","1083"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Telford and Wrekin","Local Authority","E06000020","Boys","All pupils","38.7","%","968"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Walsall","Local Authority","E08000030","Boys","All pupils","32.4","%","1576"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Warwickshire","Local Authority","E10000031","Boys","All pupils","46.0","%","2785"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Wolverhampton","Local Authority","E08000031","Boys","All pupils","28.2","%","1228"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Worcestershire","Local Authority","E10000034","Boys","All pupils","40.9","%","2731"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bedford","Local Authority","E06000055","Boys","All pupils","34.5","%","915"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Cambridgeshire","Local Authority","E10000003","Boys","All pupils","43.0","%","2860"
