"Title","A* to C in English and Maths GCSE by ethnicity and school type"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"School type","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%"
"All state-funded mainstream schools","530,580","64","50,515","68","27,407","60","2,008","84","22,465","64","414,528","64"
"Local authority maintained mainstream schools","191,701","62","21,499","65","11,496","58","591","79","8,130","60","145,402","62"
"Academies and free schools","337,452","65","28,983","70","15,874","62","1,416","85","14,288","66","268,711","65"
"Sponsored academies","85,080","53","7,419","59","6,173","58","277","81","3,759","55","64,925","52"
"Converter academies","247,551","70","20,958","75","9,482","65","1,127","87","10,292","70","200,260","70"
"Free schools","1,838","65","411","73","60","53","8","!","79","79","1,187","62"
"University technical colleges","1,864","51","125","41","130","42","!","!","108","57","1,412","54"
"Studio schools","1,119","34","70","37","29","35","!","!","50","38","927","33"
"Further education colleges with provision for 14- to 16-year-olds","885","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"State-funded special schools","10,109","1","703","!","517","!","18","!","403","1","8,235","1"
"All state-funded schools","540,689","63","51,218","67","27,924","59","2,026","83","22,868","63","422,763","63"
