"SEN","Ethnicity","All (%)","Boys (%)","Girls (%)"
"No identified SEN","All","47.6","45.7","49.5"
"No identified SEN","Asian","53.8","52.1","55.5"
"No identified SEN","Black","43.3","39.7","46.5"
"No identified SEN","Chinese","75.2","71.5","79.0"
"No identified SEN","Mixed","48.3","47.1","49.4"
"No identified SEN","White","46.9","45.0","48.7"
"All SEN","All","12.8","11.8","14.7"
"All SEN","Asian","13.6","12.8","14.8"
"All SEN","Black","11.2","9.8","13.4"
"All SEN","Chinese","24.2","24.1","24.4"
"All SEN","Mixed","13.4","12.4","14.9"
"All SEN","White","12.8","11.7","14.8"
"SEN Support","All","15.5","14.4","17.2"
"SEN Support","Asian","16.1","15.1","17.5"
"SEN Support","Black","13.3","11.8","15.4"
"SEN Support","Chinese","29.7","!","!"
"SEN Support","Mixed","16.6","!","!"
"SEN Support","White","15.6","14.4","17.3"
"SEN with a statement or EHC plan","All","5.3","5.7","4.4"
"SEN with a statement or EHC plan","Asian","6.4","6.8","5.7"
"SEN with a statement or EHC plan","Black","4.8","5.1","3.9"
"SEN with a statement or EHC plan","Chinese","10.8","!","!"
"SEN with a statement or EHC plan","Mixed","4.0","!","!"
"SEN with a statement or EHC plan","White","5.3","5.6","4.3"
