"Title","Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, religion of school and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25 January 2018 (revised)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All (%)","Boys (%)","Girls (%)","All (%)","Boys (%)","Girls (%)","All (%)","Boys (%)","Girls (%)","All (%)","Boys (%)","Girls (%)","All (%)","Boys (%)","Girls (%)","All (%)","Boys (%)","Girls (%)"
"All state-funded mainstream schools","43.5","40.7","46.3","50.2","47.8","52.6","39.1","35.1","43.1","72.7","68.7","77.1","44.0","42.0","46.0","42.8","40.1","45.6"
"Church of England schools","45.8","43.7","48.0","54.0","53.7","54.3","40.6","35.3","45.2","73.8","76.1","69.8","45.1","45.0","45.2","45.6","43.4","47.9"
"Hindu school","64.6","61.4","69.2","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Jewish schools","66.0","62.8","69.1","73.7","!","!","34.6","!","!","100.0","!","!","59.3","69.2","50.0","63.2","56.8","68.6"
"Muslim schools","65.3","67.2","64.6","66.3","67.5","65.9","55.6","61.9","50.0","N/A","N/A","N/A","!","100.0","!","!","N/A","!"
"No religious character","42.9","40.0","45.8","49.0","46.6","51.5","37.9","33.9","42.1","72.2","67.1","77.7","43.4","41.0","45.9","42.2","39.3","45.1"
"Other Christian faith schools","45.6","44.2","47.2","64.8","63.3","66.7","42.0","37.3","47.8","78.4","82.2","72.4","52.0","55.1","48.7","43.0","41.4","44.7"
"Roman Catholic schools","46.6","44.5","48.6","54.6","51.7","57.5","42.6","39.4","45.3","73.9","70.6","76.4","45.9","44.7","46.8","46.3","44.4","48.1"
"Sikh school","56.0","55.1","57.1","57.2","56.3","58.4","!","N/A","!","N/A","N/A","N/A","!","47.1","!","!","N/A","!"
