"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission Basis","Type of School","SEN","Religious character","Value","Value_type","Denominator","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.0","%","406342","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.1","%","378108","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","55.0","%","1676","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","9.3","%","118","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","4.7","%","1073","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","41.4","%","25367","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","43.2","%","23483","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","31.1","%","7038","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.8","%","2714","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","53.9","%","5147","","",""
