"Title","NHS workforce appointments from shortlisting"
"Location","England"
"Time period","2016/17"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-06-11"
"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Numerator","Denominator","Value","Value_type","Relative_likelihood_White:Other","Comments"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","England","Country","N/A","142914","744816","0.191878","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","England","Country","N/A","40492","338817","0.11951","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","London","Grouped region","N/A","15312","84211","0.181829","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","London","Grouped region","N/A","13490","134653","0.100183","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","Midlands & East","Grouped region","N/A","37852","211778","0.178734","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","Midlands & East","Grouped region","N/A","11612","87296","0.133019","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","North","Grouped region","N/A","50771","243938","0.208131","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","North","Grouped region","N/A","7419","54777","0.13544","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","South","Grouped region","N/A","38979","204889","0.190244","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","South","Grouped region","N/A","7971","62091","0.128376","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Acute","103186","516188","0.1999","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Acute","32876","259436","0.126721","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Ambulance","8269","35736","0.231391","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Ambulance","610","4500","0.135556","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Community Provider Trust","7348","46813","0.156965","%","2.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Community Provider Trust","1288","17984","0.071619","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Mental Health","24111","146079","0.165055","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Mental Health","5718","56897","0.100497","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","586","3150","0.186032","%","2.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","40","441","0.090703","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Solent NHS Trust","R1C","White","White & Other","South","Grouped region","Community Provider Trust","495","3593","0.137768","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Solent NHS Trust","R1C","Other","White & Other","South","Grouped region","Community Provider Trust","53","604","0.087748","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","406","1892","0.214588","%","2.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","20","211","0.094787","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Staffordshire and Stoke On Trent Partnership NHS Trust","R1E","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","379","2204","0.17196","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Staffordshire and Stoke On Trent Partnership NHS Trust","R1E","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","44","408","0.107843","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Isle of Wight NHS Trust","R1F","White","White & Other","South","Grouped region","Acute","29","715","0.040559","%","2.9",""
