"Title","Number of homeless households by ethnicity"
"Location","England"
"Time period","2006/07 to 2016/17"
"Data source","Homelessness statistics https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_Type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Percentage","Total","Value"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","All","ONS 5+1","E92000001","Country","England","100","73,360","73,360"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","All","ONS 5+1","E92000001","Country","England","100","63,170","63,170"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","All","ONS 5+1","E92000001","Country","England","100","53,432","53,432"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","All","ONS 5+1","E92000001","Country","England","100","40,020","40,020"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","All","ONS 5+1","E92000001","Country","England","100","44,159","44,159"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","All","ONS 5+1","E92000001","Country","England","100","50,290","50,290"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","All","ONS 5+1","E92000001","Country","England","100","53,769","53,769"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","All","ONS 5+1","E92000001","Country","England","100","52,286","52,286"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","All","ONS 5+1","E92000001","Country","England","100","54,434","54,434"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","All","ONS 5+1","E92000001","Country","England","100","57,734","57,734"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","All","ONS 5+1","E92000002","Country","England","100","59,090","59,090"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","Asian","ONS 5+1","E92000001","Country","England","6","73,360","4,129"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","Asian","ONS 5+1","E92000001","Country","England","6","63,170","3,856"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","Asian","ONS 5+1","E92000001","Country","England","6","53,432","3,307"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","Asian","ONS 5+1","E92000001","Country","England","7","40,020","2,623"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","Asian","ONS 5+1","E92000001","Country","England","6","44,159","2,802"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","Asian","ONS 5+1","E92000001","Country","England","7","50,290","3,413"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","Asian","ONS 5+1","E92000001","Country","England","8","53,769","4,184"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","Asian","ONS 5+1","E92000001","Country","England","9","52,286","4,508"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","Asian","ONS 5+1","E92000001","Country","England","9","54,434","4,911"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","Asian","ONS 5+1","E92000001","Country","England","9","57,734","5,483"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","Asian","ONS 5+1","E92000001","Country","England","9","59,090","5,560"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","Black","ONS 5+1","E92000001","Country","England","10","73,360","7,248"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","Black","ONS 5+1","E92000001","Country","England","11","63,170","6,899"
