"Title","Ethnic groups broken down by their judicial roles"
"Location","England, Wales and Scotland"
"Time period","2016 to 2017"
"Data source","Judicial Statistics 2017"
"Data source link","https://www.judiciary.gov.uk/publications/judicial-statistics-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Court type","Ethnicity"," % 2016","Headcount 2016","% 2017","Headcount 2017"
"Court Judges","Asian","16.9","79","16.9","78"
"Court Judges","Black","19.8","26","22.2","28"
"Court Judges","Mixed","39.0","41","39.8","39"
"Court Judges","White","37.9","2,506","38.9","2,438"
"Court Judges","Other","23.7","28","25.2","28"
"Court Judges","Unknown","46.4","522","53.2","523"
"Tribunal Judges","Asian","16.5","77","16.3","75"
"Tribunal Judges","Black","26.0","34","25.4","32"
"Tribunal Judges","Mixed","27.6","29","28.6","28"
"Tribunal Judges","White","23.9","1,580","23.7","1,485"
"Tribunal Judges","Other","31.4","37","29.7","33"
"Tribunal Judges","Unknown","12.2","137","13.5","133"
"Tribunal non-legal members","Asian","66.6","311","66.8","308"
"Tribunal non-legal members","Black","54.2","71","52.4","66"
"Tribunal non-legal members","Mixed","33.3","35","31.6","31"
"Tribunal non-legal members","White","38.2","2,531","37.4","2,344"
"Tribunal non-legal members","Other","44.9","53","45.0","50"
"Tribunal non-legal members","Unknown","41.4","465","33.3","328"
"All","Asian","100.0","467","100.0","461"
"All","Black","100.0","131","100.0","126"
"All","Mixed","100.0","105","100.0","98"
"All","White","100.0","6,617","100.0","6,267"
"All","Other","100.0","118","100.0","111"
"All","Unknown","100.0","1,124","100.0","984"
