"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court/Tribunal","Court/Tribunal type","Value"
"Number of judges and judiciary members","2016-04-01","Date","White","ONS 5+1 2011","Tribunal","First-tier Tribunal","2750"
"Number of judges and judiciary members","2016-04-01","Date","White","ONS 5+1 2011","Tribunal","Upper Tribunal","118"
"Number of judges and judiciary members","2016-04-01","Date","White","ONS 5+1 2011","Tribunal","Employment Tribunal - England and Wales","1003"
"Number of judges and judiciary members","2016-04-01","Date","White","ONS 5+1 2011","Tribunal","Employment Tribunal - Scotland","165"
"Number of judges and judiciary members","2016-04-01","Date","White","ONS 5+1 2011","Tribunal","Employment Appeal Tribunal","28"
"Number of judges and judiciary members","2016-04-01","Date","White","ONS 5+1 2011","Tribunal","Other tribunals","66"
"Number of judges and judiciary members","2016-04-01","Date","Asian","ONS 5+1 2011","Tribunal","First-tier Tribunal","306"
"Number of judges and judiciary members","2016-04-01","Date","Asian","ONS 5+1 2011","Tribunal","Upper Tribunal","4"
"Number of judges and judiciary members","2016-04-01","Date","Asian","ONS 5+1 2011","Tribunal","Employment Tribunal - England and Wales","67"
"Number of judges and judiciary members","2016-04-01","Date","Asian","ONS 5+1 2011","Tribunal","Employment Tribunal - Scotland","1"
"Number of judges and judiciary members","2016-04-01","Date","Asian","ONS 5+1 2011","Tribunal","Employment Appeal Tribunal","3"
"Number of judges and judiciary members","2016-04-01","Date","Asian","ONS 5+1 2011","Tribunal","Other tribunals","9"
"Number of judges and judiciary members","2016-04-01","Date","Black","ONS 5+1 2011","Tribunal","First-tier Tribunal","54"
"Number of judges and judiciary members","2016-04-01","Date","Black","ONS 5+1 2011","Tribunal","Upper Tribunal","4"
"Number of judges and judiciary members","2016-04-01","Date","Black","ONS 5+1 2011","Tribunal","Employment Tribunal - England and Wales","42"
"Number of judges and judiciary members","2016-04-01","Date","Black","ONS 5+1 2011","Tribunal","Employment Tribunal - Scotland","1"
"Number of judges and judiciary members","2016-04-01","Date","Black","ONS 5+1 2011","Tribunal","Employment Appeal Tribunal","2"
"Number of judges and judiciary members","2016-04-01","Date","Black","ONS 5+1 2011","Tribunal","Other tribunals","3"
"Number of judges and judiciary members","2016-04-01","Date","Mixed","ONS 5+1 2011","Tribunal","First-tier Tribunal","43"
"Number of judges and judiciary members","2016-04-01","Date","Mixed","ONS 5+1 2011","Tribunal","Upper Tribunal","7"
"Number of judges and judiciary members","2016-04-01","Date","Mixed","ONS 5+1 2011","Tribunal","Employment Tribunal - England and Wales","12"
"Number of judges and judiciary members","2016-04-01","Date","Mixed","ONS 5+1 2011","Tribunal","Employment Tribunal - Scotland","1"
"Number of judges and judiciary members","2016-04-01","Date","Mixed","ONS 5+1 2011","Tribunal","Employment Appeal Tribunal","1"
"Number of judges and judiciary members","2016-04-01","Date","Mixed","ONS 5+1 2011","Tribunal","Other tribunals","0"
"Number of judges and judiciary members","2016-04-01","Date","Other","ONS 5+1 2011","Tribunal","First-tier Tribunal","83"
"Number of judges and judiciary members","2016-04-01","Date","Other","ONS 5+1 2011","Tribunal","Upper Tribunal","2"
"Number of judges and judiciary members","2016-04-01","Date","Other","ONS 5+1 2011","Tribunal","Employment Tribunal - England and Wales","4"
"Number of judges and judiciary members","2016-04-01","Date","Other","ONS 5+1 2011","Tribunal","Employment Tribunal - Scotland","0"
"Number of judges and judiciary members","2016-04-01","Date","Other","ONS 5+1 2011","Tribunal","Employment Appeal Tribunal","1"
