"Title","Economically inactive men by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Highest qualification",""
"All","All","13%"
"All","Level 4 and above","7%"
"All","Level 3","11%"
"All","Level 2","15%"
"All","Below level 2","16%"
"All","Other qualifications","13%"
"All","No qualifications","40%"
"Asian","All","12%"
"Asian","Level 4 and above","5%"
"Asian","Level 3","15%"
"Asian","Level 2","16%"
"Asian","Below level 2","13%"
"Asian","Other qualifications","11%"
"Asian","No qualifications","35%"
"Black","All","14%"
"Black","Level 4 and above","5%"
"Black","Level 3","9%"
"Black","Level 2","16%"
"Black","Below level 2","21%"
"Black","Other qualifications","16%"
"Black","No qualifications","53%"
"Mixed","All","16%"
"Mixed","Level 4 and above","7%"
"Mixed","Level 3","8%"
"Mixed","Level 2","17%"
"Mixed","Below level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","13%"
"White","Level 4 and above","8%"
"White","Level 3","11%"
"White","Level 2","15%"
"White","Below level 2","16%"
"White","Other qualifications","13%"
"White","No qualifications","40%"
"Other","All","16%"
"Other","Level 4 and above","9%"
"Other","Level 3","16%"
"Other","Level 2","23%"
"Other","Below level 2","?"
"Other","Other qualifications","17%"
"Other","No qualifications","34%"
