"Title","Economic inactivity by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Highest qualification",""
"All","All","19"
"All","Level 4 and above","11"
"All","Level 3","15"
"All","Level 2","21"
"All","Below Level 2","26"
"All","Other qualifications","21"
"All","No qualifications","51"
"Asian","All","26"
"Asian","Level 4 and above","14"
"Asian","Level 3","26"
"Asian","Level 2","29"
"Asian","Below Level 2","33"
"Asian","Other qualifications","31"
"Asian","No qualifications","58"
"Black","All","20"
"Black","Level 4 and above","10"
"Black","Level 3","18"
"Black","Level 2","24"
"Black","Below Level 2","30"
"Black","Other qualifications","27"
"Black","No qualifications","51"
"Mixed","All","21"
"Mixed","Level 4 and above","9"
"Mixed","Level 3","17"
"Mixed","Level 2","28"
"Mixed","Below Level 2","35"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","57"
"White","All","18"
"White","Level 4 and above","11"
"White","Level 3","14"
"White","Level 2","21"
"White","Below Level 2","25"
"White","Other qualifications","18"
"White","No qualifications","50"
"Other","All","27"
"Other","Level 4 and above","19"
"Other","Level 3","25"
"Other","Level 2","32"
"Other","Below Level 2","44"
"Other","Other qualifications","27"
"Other","No qualifications","52"
