"","Hardship","","Homelessness","","Insanitary/Unsatisfactory Housing","","Medical Welfare","","Multiple reasons",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number"
"All","14.4","13,001","36.4","32,957","21.4","19,400","25.0","22,618","2.8","2,507"
"Asian","12.4","665","40.7","2,181","28.6","1,531","14.3","763","4.0","213"
"Bangladeshi","9.4","131","29.8","415","46.5","648","10.1","141","4.1","57"
"Chinese","21.3","31","36.2","52","22.6","33","17.6","25","2.3","3"
"Indian","12.9","101","39.5","309","24.1","189","20.9","164","2.6","21"
"Pakistani","14.1","241","47.8","812","20.1","342","13.5","229","4.5","77"
"Asian other","12.1","161","44.4","592","24.0","320","15.3","204","4.1","55"
"Black","11.9","913","42.7","3,266","26.6","2,039","12.6","964","6.2","475"
"Black African","11.7","501","44.9","1,925","27.0","1,159","10.3","442","6.1","262"
"Black Caribbean","13.2","301","40.3","923","23.9","548","17.2","393","5.4","122"
"Black other","10.2","111","38.7","417","30.8","332","11.9","129","8.3","90"
"Mixed","14.8","444","43.4","1,305","23.1","695","14.0","421","4.7","141"
"Mixed White/Asian","20.1","76","41.8","158","20.3","77","13.2","50","4.6","18"
"Mixed White/Black African","14.1","72","39.1","200","27.8","142","15.3","78","3.7","19"
"Mixed White/Black Caribbean","14.1","202","45.4","651","22.1","316","13.1","188","5.3","75"
"Mixed other","13.7","94","43.3","296","23.5","160","15.3","104","4.2","29"
"White","14.5","10,478","35.0","25,272","20.4","14,702","27.9","20,184","2.2","1,607"
"White British","14.6","9,931","34.7","23,548","19.9","13,484","28.8","19,541","2.1","1,392"
"White Irish","15.2","77","34.4","175","18.9","96","26.8","137","4.6","24"
"White Gypsy/Traveller","13.4","22","31.9","52","24.2","39","16.9","28","13.6","22"
"White other","12.2","447","40.7","1,497","29.5","1,083","13.0","478","4.6","169"
"Other","22.5","502","42.0","934","19.4","432","12.8","285","3.2","72"
"Arab","16.8","110","49.6","324","18.9","124","11.2","73","3.5","23"
"Any other","24.9","391","38.8","610","19.6","308","13.5","212","3.1","49"
