"Title","Adults screening positive for bipolar disorder by ethnicity and sex"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/pubs/apmsurvey14"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Gender","Value","Denominator"
"Screen positive for Bipolar","2014","Year","White - British","All","2","6,022"
"Screen positive for Bipolar","2014","Year","White - Other","All","2","397"
"Screen positive for Bipolar","2014","Year","Black","All","3.5","180"
"Screen positive for Bipolar","2014","Year","Asian","All","1.4","321"
"Screen positive for Bipolar","2014","Year","Mixed/Other","All","1.8","134"
"Screen positive for Bipolar","2014","Year","White - British","Men","2.3","2,478"
"Screen positive for Bipolar","2014","Year","White - Other","Men","3.1","147"
"Screen positive for Bipolar","2014","Year","Black","Men","2.9","63"
"Screen positive for Bipolar","2014","Year","Asian","Men","2","137"
"Screen positive for Bipolar","2014","Year","Mixed/Other","Men","1.6","49"
"Screen positive for Bipolar","2014","Year","White - British","Women","1.8","3,544"
"Screen positive for Bipolar","2014","Year","White - Other","Women","1.1","250"
"Screen positive for Bipolar","2014","Year","Black","Women","4","117"
"Screen positive for Bipolar","2014","Year","Asian","Women","0.7","184"
"Screen positive for Bipolar","2014","Year","Mixed/Other","Women","2","85"
