"Title","Income distribution after housing costs (AHC) by ethnicity"
"Location","UK"
"Time period","2015/16"
"Data source","Households Below Average Income (HBAI) statistics https://www.gov.uk/government/statistics/households-below-average-income-199495-to-201516"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Income Quintile Disitribution","Value"
"White British","Percentage of individuals in bottom income quintile","17"
"White British","Percentage of individuals in second income quintile","19"
"White British","Percentage of individuals in third income quintile","21"
"White British","Percentage of individuals in fourth income quintile","21"
"White British","Percentage of individuals in top income quintile","21"
"White Other","Percentage of individuals in bottom income quintile","26"
"White Other","Percentage of individuals in second income quintile","20"
"White Other","Percentage of individuals in third income quintile","18"
"White Other","Percentage of individuals in fourth income quintile","16"
"White Other","Percentage of individuals in top income quintile","20"
"Mixed","Percentage of individuals in bottom income quintile","27"
"Mixed","Percentage of individuals in second income quintile","17"
"Mixed","Percentage of individuals in third income quintile","25"
"Mixed","Percentage of individuals in fourth income quintile","16"
"Mixed","Percentage of individuals in top income quintile","15"
"Asian","Percentage of individuals in bottom income quintile","33"
"Asian","Percentage of individuals in second income quintile","25"
"Asian","Percentage of individuals in third income quintile","16"
"Asian","Percentage of individuals in fourth income quintile","13"
"Asian","Percentage of individuals in top income quintile","13"
"Black","Percentage of individuals in bottom income quintile","38"
"Black","Percentage of individuals in second income quintile","24"
"Black","Percentage of individuals in third income quintile","17"
"Black","Percentage of individuals in fourth income quintile","14"
"Black","Percentage of individuals in top income quintile","7"
"Other","Percentage of individuals in bottom income quintile","44"
"Other","Percentage of individuals in second income quintile","19"
"Other","Percentage of individuals in third income quintile","11"
"Other","Percentage of individuals in fourth income quintile","12"
"Other","Percentage of individuals in top income quintile","13"
