"Title","Income distribution before housing costs (BHC) by ethnicity"
"Location","UK"
"Time period","2015/16"
"Data source","Households Below Average Income (HBAI) statistics https://www.gov.uk/government/statistics/households-below-average-income-199495-to-201516"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Income Quintile Disitribution","Value"
"White British","Percentage of individuals in bottom income quintile","18"
"White British","Percentage of individuals in second income quintile","20"
"White British","Percentage of individuals in third income quintile","20"
"White British","Percentage of individuals in fourth income quintile","21"
"White British","Percentage of individuals in top income quintile","21"
"White Other","Percentage of individuals in bottom income quintile","20"
"White Other","Percentage of individuals in second income quintile","19"
"White Other","Percentage of individuals in third income quintile","18"
"White Other","Percentage of individuals in fourth income quintile","20"
"White Other","Percentage of individuals in top income quintile","24"
"Mixed","Percentage of individuals in bottom income quintile","23"
"Mixed","Percentage of individuals in second income quintile","14"
"Mixed","Percentage of individuals in third income quintile","23"
"Mixed","Percentage of individuals in fourth income quintile","20"
"Mixed","Percentage of individuals in top income quintile","19"
"Asian","Percentage of individuals in bottom income quintile","33"
"Asian","Percentage of individuals in second income quintile","21"
"Asian","Percentage of individuals in third income quintile","16"
"Asian","Percentage of individuals in fourth income quintile","15"
"Asian","Percentage of individuals in top income quintile","15"
"Black","Percentage of individuals in bottom income quintile","29"
"Black","Percentage of individuals in second income quintile","25"
"Black","Percentage of individuals in third income quintile","21"
"Black","Percentage of individuals in fourth income quintile","17"
"Black","Percentage of individuals in top income quintile","8"
"Other","Percentage of individuals in bottom income quintile","30"
"Other","Percentage of individuals in second income quintile","22"
"Other","Percentage of individuals in third income quintile","17"
"Other","Percentage of individuals in fourth income quintile","15"
"Other","Percentage of individuals in top income quintile","16"
