"Title","Public library use by ethnicity over time"
"Location","England"
"Time period","2005/06 to 2016/17"
"Data source","Taking Part survey"
"Data source link","https://www.gov.uk/government/collections/sat--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/2017"

"","All","","White","","Other than White",""
"Year","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2005/06","48","28,117","47","24,038","57","4,047"
"2006/07","46","24,174","45","21,317","57","2,829"
"2007/08","45","25,720","44","22,794","58","2,880"
"2008/09","41","10,752","40","9,728","50","1,010"
"2009/10","39","6,097","38","5,455","51","630"
"2010/11","40","14,102","38","12,617","50","1,457"
"2011/12","39","9,188","38","8,301","47","871"
"2012/13","37","9,838","36","9,054","45","775"
"2013/14","35","10,355","34","9,545","48","798"
"2014/15","34","9,817","33","9,050","47","757"
"2015/16","33","10,171","32","9,312","46","850"
"2016/17","34","9,352","32","8,473","45","862"
