"Title","Percentage of offenders who reoffend by ethnicity and age"
"Location","England and Wales"
"Time period","2015"
"Data source","NOMS Offender Equalities Statistics Bulletin"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Age Range","Region","Ethnic Group","Percentage of offenders who reoffend","Number of reoffenders","Number of offenders in cohort"
"18 to 20","England and Wales","Asian","26.7","732","2743"
"18 to 20","England and Wales","Black","35.3","1830","5186"
"18 to 20","England and Wales","Not Recorded","6.4","129","2020"
"18 to 20","England and Wales","Other","26","137","526"
"18 to 20","England and Wales","White","29.1","11108","38199"
"21 to 24","England and Wales","Asian","23.3","979","4206"
"21 to 24","England and Wales","Black","29.2","2071","7091"
"21 to 24","England and Wales","Not Recorded","6.6","183","2753"
"21 to 24","England and Wales","Other","20.9","174","833"
"21 to 24","England and Wales","White","26.6","15682","58933"
"25 to 29","England and Wales","Asian","19.9","985","4938"
"25 to 29","England and Wales","Black","27.1","1960","7231"
"25 to 29","England and Wales","Not Recorded","6.1","176","2876"
"25 to 29","England and Wales","Other","18.8","192","1021"
"25 to 29","England and Wales","White","27.2","17866","65584"
"30 to 34","England and Wales","Asian","20","866","4328"
"30 to 34","England and Wales","Black","26.2","1462","5582"
"30 to 34","England and Wales","Not Recorded","6.9","164","2363"
"30 to 34","England and Wales","Other","17","156","919"
"30 to 34","England and Wales","White","28.5","14743","51778"
"35 to 39","England and Wales","Asian","18.4","616","3352"
"35 to 39","England and Wales","Black","24.8","970","3909"
"35 to 39","England and Wales","Not Recorded","5.5","96","1745"
"35 to 39","England and Wales","Other","15.5","119","769"
"35 to 39","England and Wales","White","28.5","11177","39243"
"40 to 44","England and Wales","Asian","15.7","378","2402"
"40 to 44","England and Wales","Black","23.4","707","3025"
"40 to 44","England and Wales","Not Recorded","4.2","65","1552"
"40 to 44","England and Wales","Other","11.8","68","574"
"40 to 44","England and Wales","White","24.8","8538","34359"
"45 to 49","England and Wales","Asian","13.6","196","1439"
"45 to 49","England and Wales","Black","23.1","625","2708"
"45 to 49","England and Wales","Not Recorded","3.7","52","1396"
"45 to 49","England and Wales","Other","11.6","48","413"
"45 to 49","England and Wales","White","20.5","5622","27415"
"50+","England and Wales","Asian","10.8","179","1662"
"50+","England and Wales","Black","19.7","620","3148"
"50+","England and Wales","Not Recorded","1.9","63","3241"
"50+","England and Wales","Other","8.5","46","543"
"50+","England and Wales","White","13.4","5251","39128"
"10 to 14","England and Wales","Asian","35.1","112","319"
"10 to 14","England and Wales","Black","48.4","462","955"
"10 to 14","England and Wales","Not Recorded","13.1","65","497"
"10 to 14","England and Wales","Other","47.1","24","51"
"10 to 14","England and Wales","White","39.7","2671","6723"
"15 to 17","England and Wales","Asian","32","455","1421"
"15 to 17","England and Wales","Black","44.9","1468","3271"
"15 to 17","England and Wales","Not Recorded","13.5","129","956"
"15 to 17","England and Wales","Other","35.9","78","217"
"15 to 17","England and Wales","White","37.9","8276","21850"
