"Title","Fear of crime by ethnicity "
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","[Crime Survey for England and Wales](https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Ethnicity","Ethnicity_type","Value"
"Proportion of adults that fear crime","2013/14","White","ONS 5+1","17.9"
"Proportion of adults that fear crime","2013/14","White British","ONS 18+1","17.7"
"Proportion of adults that fear crime","2013/14","White Irish","ONS 18+1","20.7"
"Proportion of adults that fear crime","2013/14","Gypsy or Irish Traveller","ONS 18+1","-"
"Proportion of adults that fear crime","2013/14","Any other white background","ONS 18+1","20.4"
"Proportion of adults that fear crime","2013/14","Mixed","ONS 5+1","28.6"
"Proportion of adults that fear crime","2013/14","Mixed white and black caribbean","ONS 18+1","24.9"
"Proportion of adults that fear crime","2013/14","Mixed white and black african","ONS 18+1","-"
"Proportion of adults that fear crime","2013/14","Mixed white and asian","ONS 18+1","32.7"
"Proportion of adults that fear crime","2013/14","Any other Mixed/Multiple ethnic background","ONS 18+1","24.8"
"Proportion of adults that fear crime","2013/14","Asian","ONS 5+1","31.5"
"Proportion of adults that fear crime","2013/14","Indian","ONS 18+1","33.3"
"Proportion of adults that fear crime","2013/14","Pakistani","ONS 18+1","35.3"
"Proportion of adults that fear crime","2013/14","Bangladeshi","ONS 18+1","34.2"
"Proportion of adults that fear crime","2013/14","Chinese","ONS 18+1","15.3"
"Proportion of adults that fear crime","2013/14","Any other asian","ONS 18+1","28.8"
"Proportion of adults that fear crime","2013/14","Black","ONS 5+1","26.8"
"Proportion of adults that fear crime","2013/14","Black african","ONS 18+1","23.2"
"Proportion of adults that fear crime","2013/14","Black caribbean","ONS 18+1","31.9"
"Proportion of adults that fear crime","2013/14","Any other black background","ONS 18+1","-"
"Proportion of adults that fear crime","2013/14","Other","ONS 5+1","25.1"
"Proportion of adults that fear crime","2013/14","Arab","ONS 18+1","21.4"
"Proportion of adults that fear crime","2013/14","Any other ethnic group","ONS 18+1","27.3"
"Proportion of adults that fear crime","2014/15","White","ONS 5+1","17.4"
"Proportion of adults that fear crime","2014/15","White British","ONS 18+1","17.4"
"Proportion of adults that fear crime","2014/15","White Irish","ONS 18+1","17.5"
"Proportion of adults that fear crime","2014/15","Gypsy or Irish Traveller","ONS 18+1","-"
"Proportion of adults that fear crime","2014/15","Any other white background","ONS 18+1","18.7"
"Proportion of adults that fear crime","2014/15","Mixed","ONS 5+1","20.3"
"Proportion of adults that fear crime","2014/15","Mixed white and black caribbean","ONS 18+1","21.4"
"Proportion of adults that fear crime","2014/15","Mixed white and black african","ONS 18+1","-"
"Proportion of adults that fear crime","2014/15","Mixed white and asian","ONS 18+1","17.8"
"Proportion of adults that fear crime","2014/15","Any other Mixed/Multiple ethnic background","ONS 18+1","26.8"
"Proportion of adults that fear crime","2014/15","Asian","ONS 5+1","28.2"
"Proportion of adults that fear crime","2014/15","Indian","ONS 18+1","29.3"
"Proportion of adults that fear crime","2014/15","Pakistani","ONS 18+1","27.5"
"Proportion of adults that fear crime","2014/15","Bangladeshi","ONS 18+1","29.1"
"Proportion of adults that fear crime","2014/15","Chinese","ONS 18+1","19.3"
"Proportion of adults that fear crime","2014/15","Any other asian","ONS 18+1","30.3"
"Proportion of adults that fear crime","2014/15","Black","ONS 5+1","23.7"
"Proportion of adults that fear crime","2014/15","Black african","ONS 18+1","22.2"
"Proportion of adults that fear crime","2014/15","Black caribbean","ONS 18+1","25.7"
"Proportion of adults that fear crime","2014/15","Any other black background","ONS 18+1","26.2"
"Proportion of adults that fear crime","2014/15","Other","ONS 5+1","26.0"
"Proportion of adults that fear crime","2014/15","Arab","ONS 18+1","25.5"
"Proportion of adults that fear crime","2014/15","Any other ethnic group","ONS 18+1","26.3"
"Proportion of adults that fear crime","2015/16","White","ONS 5+1","18.0"
"Proportion of adults that fear crime","2015/16","White British","ONS 18+1","17.8"
"Proportion of adults that fear crime","2015/16","White Irish","ONS 18+1","20.4"
"Proportion of adults that fear crime","2015/16","Gypsy or Irish Traveller","ONS 18+1","-"
"Proportion of adults that fear crime","2015/16","Any other white background","ONS 18+1","20.7"
"Proportion of adults that fear crime","2015/16","Mixed","ONS 5+1","21.1"
"Proportion of adults that fear crime","2015/16","Mixed white and black caribbean","ONS 18+1","17.7"
"Proportion of adults that fear crime","2015/16","Mixed white and black african","ONS 18+1","-"
"Proportion of adults that fear crime","2015/16","Mixed white and asian","ONS 18+1","21.4"
"Proportion of adults that fear crime","2015/16","Any other Mixed/Multiple ethnic background","ONS 18+1","26.3"
"Proportion of adults that fear crime","2015/16","Asian","ONS 5+1","27.1"
"Proportion of adults that fear crime","2015/16","Indian","ONS 18+1","27.5"
"Proportion of adults that fear crime","2015/16","Pakistani","ONS 18+1","29.8"
"Proportion of adults that fear crime","2015/16","Bangladeshi","ONS 18+1","31.4"
"Proportion of adults that fear crime","2015/16","Chinese","ONS 18+1","15.7"
"Proportion of adults that fear crime","2015/16","Any other asian","ONS 18+1","25.7"
"Proportion of adults that fear crime","2015/16","Black","ONS 5+1","26.3"
"Proportion of adults that fear crime","2015/16","Black african","ONS 18+1","25.4"
"Proportion of adults that fear crime","2015/16","Black caribbean","ONS 18+1","27.7"
"Proportion of adults that fear crime","2015/16","Any other black background","ONS 18+1","28.1"
"Proportion of adults that fear crime","2015/16","Other","ONS 5+1","27.1"
"Proportion of adults that fear crime","2015/16","Arab","ONS 18+1","29.7"
"Proportion of adults that fear crime","2015/16","Any other ethnic group","ONS 18+1","25.5"
