"Title","Self-employment in the UK by ethnicity over time"
"Location","UK"
"Time period","2011 to 2016"
"Data source","Labour Force Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/labourforcesurveylfsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Ethnicity","Torder","Value"
"2011","Black","100","8.1"
"2011","Indian","101","11.5"
"2011","Mixed","102","11.7"
"2011","Other","105","15.1"
"2011","Pakistani/Bangladeshi","103","21.4"
"2011","White","104","14"
"2012","Black","100","9.9"
"2012","Indian","101","13.2"
"2012","Mixed","102","11.6"
"2012","Other","105","15"
"2012","Pakistani/Bangladeshi","103","22.8"
"2012","White","104","14.3"
"2013","Black","100","9.9"
"2013","Indian","101","13.6"
"2013","Mixed","102","11.2"
"2013","Other","105","15"
"2013","Pakistani/Bangladeshi","103","20.6"
"2013","White","104","14.4"
"2014","Black","100","10.2"
"2014","Indian","101","12.2"
"2014","Mixed","102","14.8"
"2014","Other","105","16.9"
"2014","Pakistani/Bangladeshi","103","21"
"2014","White","104","14.8"
"2015","Black","100","10.9"
"2015","Indian","101","13.7"
"2015","Mixed","102","11.3"
"2015","Other","105","15"
"2015","Pakistani/Bangladeshi","103","21.8"
"2015","White","104","14.8"
"2016","Black","100","10.7"
"2016","Indian","101","14"
"2016","Mixed","102","14.6"
"2016","Other","105","16.5"
"2016","Pakistani/Bangladeshi","103","22.1"
"2016","White","104","15.2"
