"Title","Physical activity levels by ethnicity and area"
"Location","England"
"Time period","2015/16 "
"Data source","Active Lives Survey"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Region","%","Number of respondents"
"All","England","61","192,623"
"All","East Midlands","60","21,913"
"All","East","60","25,199"
"All","London","62","18,669"
"All","North East","59","8,837"
"All","North West","60","27,469"
"All","South East","63","35,153"
"All","South West","64","21,812"
"All","West Midlands","58","18,791"
"All","Yorkshire","60","14,780"
"Asian","England","54","7,984"
"Asian","East Midlands","56","828"
"Asian","East","55","749"
"Asian","London","54","2,365"
"Asian","North East","56","152"
"Asian","North West","55","973"
"Asian","South East","59","1,219"
"Asian","South West","61","220"
"Asian","West Midlands","50","1,029"
"Asian","Yorkshire","55","449"
"Chinese","England","55","1,057"
"Chinese","East Midlands","51","85"
"Chinese","East","58","116"
"Chinese","London","60","319"
"Chinese","North East","?","49"
"Chinese","North West","44","153"
"Chinese","South East","57","176"
"Chinese","South West","63","61"
"Chinese","West Midlands","60","63"
"Chinese","Yorkshire","?","35"
"Black","England","55","2,910"
"Black","East Midlands","63","205"
"Black","East","54","299"
"Black","London","56","1,297"
"Black","North East","?","30"
"Black","North West","53","253"
"Black","South East","66","317"
"Black","South West","53","96"
"Black","West Midlands","48","295"
"Black","Yorkshire","43","118"
"Mixed","England","69","1,982"
"Mixed","East Midlands","72","174"
"Mixed","East","70","238"
"Mixed","London","72","522"
"Mixed","North East","70","51"
"Mixed","North West","61","219"
"Mixed","South East","73","369"
"Mixed","South West","61","153"
"Mixed","West Midlands","70","162"
"Mixed","Yorkshire","58","94"
"White British","England","61","167,292"
"White British","East Midlands","61","19,725"
"White British","East","60","22,222"
"White British","London","66","10,782"
"White British","North East","59","8,305"
"White British","North West","60","24,794"
"White British","South East","63","30,877"
"White British","South West","64","20,438"
"White British","West Midlands","59","16,535"
"White British","Yorkshire","60","13,614"
"White other","England","65","9,898"
"White other","East Midlands","63","784"
"White other","East","60","1,431"
"White other","London","68","2,855"
"White other","North East","66","211"
"White other","North West","67","904"
"White other","South East","63","1,945"
"White other","South West","67","764"
"White other","West Midlands","57","604"
"White other","Yorkshire","64","400"
"Other","England","56","1,500"
"Other","East Midlands","60","112"
"Other","East","57","144"
"Other","London","55","529"
"Other","North East","?","39"
"Other","North West","48","173"
"Other","South East","53","250"
"Other","South West","68","80"
"Other","West Midlands","65","103"
"Other","Yorkshire","60","70"
