"Title","Physical activity"
"Location","England"
"Time period","2015/16"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","25.6","%","196180","50168","25.90%","25.30%","198911"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","24.9","%","154220","38445","25.20%","24.60%","167292"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","22.9","%","10590","2430","24.30%","21.70%","9898"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","30.6","%","13828","4233","32.10%","29.10%","7984"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","28.7","%","4613","1323","31.20%","26.30%","2910"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","30.8","%","1429","440","35.20%","26.70%","1057"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","18.9","%","2986","565","21.60%","16.50%","1982"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","Physically inactive","29.9","%","2332","697","33.40%","26.60%","1500"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","24.2","%","95502","23106","24.60%","23.80%","87607"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","23.6","%","74297","17530","24.10%","23.10%","73864"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","22.9","%","5060","1161","25.00%","21.00%","3988"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","27.6","%","7600","2094","29.80%","25.40%","3787"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","26.6","%","2152","572","30.70%","22.80%","1149"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","28.6","%","700","200","34.70%","23.20%","437"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","17.8","%","1389","247","21.80%","14.30%","771"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","Physically inactive","28.8","%","1182","341","34.00%","24.10%","664"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","26.7","%","100211","26775","27.10%","26.30%","110847"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","26","%","79620","20733","26.50%","25.60%","93117"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","22.9","%","5524","1267","24.60%","21.30%","5903"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","34.2","%","6213","2127","36.30%","32.20%","4183"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","30.4","%","2452","745","33.50%","27.40%","1750"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","32.6","%","725","237","39.00%","26.80%","617"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","19.8","%","1591","315","23.50%","16.60%","1207"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","Physically inactive","31","%","1147","356","36.00%","26.50%","835"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","26.4","%","16865","4448","27.20%","25.60%","22543"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","25.7","%","14182","3642","26.50%","24.80%","19725"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","29.3","%","724","212","34.60%","24.50%","784"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","28.9","%","938","271","33.30%","24.90%","828"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","25.3","%","188","48","35.80%","17.10%","205"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","*","%","*","40","52.00%","22.40%","85"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","*","%","*","26","23.30%","9.00%","174"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","Physically inactive","27","%","90","24","39.70%","17.30%","112"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","25.3","%","21749","5500","26.10%","24.50%","26006"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","25.1","%","18150","4556","25.90%","24.30%","22222"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","27.4","%","1209","331","31.20%","24.00%","1431"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","23.9","%","859","205","28.30%","20.10%","749"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","22","%","331","73","29.20%","16.20%","299"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","30.7","%","104","32","43.60%","20.30%","116"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","16.7","%","286","48","24.70%","11.00%","238"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Physically inactive","30.3","%","161","49","41.70%","20.90%","144"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","24.2","%","30542","7401","25.10%","23.40%","19887"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","21.1","%","13723","2892","22.20%","20.00%","10782"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","20","%","4028","806","22.50%","17.80%","2855"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","31.6","%","5728","1810","34.30%","29.00%","2365"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","28.1","%","2566","721","31.50%","24.90%","1297"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","26.6","%","587","156","33.50%","20.70%","319"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","18.6","%","1111","207","23.20%","14.70%","522"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Physically inactive","30.6","%","1184","362","36.40%","25.40%","529"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","27.9","%","9560","2670","29.30%","26.60%","9046"
