"Title","Psychotic disorder in the year prior to survey"
"Location","England"
"Time period","2007 and 2014 (combined)"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"","All","Men","Women"
"","","",""
"Asian","0.9","1.3","0.4"
"Black","1.4","3.2","0.0"
"Mixed/Other","0.0","0.0","0.0"
"White","0.5","0.3","0.7"
