"Title","Science attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","79"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","80"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","81"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","84"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","42"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","37"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","74"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","80"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","76"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","81"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","84"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","80"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","84"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","73"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","75"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","79"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","76"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","75"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","75"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","83"
