"Title","Science attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominators","Breakdown"
"All","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","65","%","50,060","FSM Boys"
"White","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","64","%","34,986","FSM Boys"
"White - British","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","64","%","32,698","FSM Boys"
"White - Irish","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","64","%","130","FSM Boys"
"White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","40","%","197","FSM Boys"
"White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","38","%","368","FSM Boys"
"White - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","65","%","1,593","FSM Boys"
"Mixed","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","4,120","FSM Boys"
"Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","65","%","1,501","FSM Boys"
"Mixed - White and Black African","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","608","FSM Boys"
"Mixed - White and Asian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","682","FSM Boys"
"Mixed - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","1,329","FSM Boys"
"Asian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","68","%","4,477","FSM Boys"
"Asian - Indian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","75","%","464","FSM Boys"
"Asian - Pakistani","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","65","%","2,330","FSM Boys"
"Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","1,023","FSM Boys"
"Asian - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","660","FSM Boys"
"Black","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","4,686","FSM Boys"
"Black - Caribbean","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","66","%","969","FSM Boys"
"Black - African","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","70","%","3,028","FSM Boys"
"Black - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","68","%","689","FSM Boys"
"Chinese","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","82","%","124","FSM Boys"
"Other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","67","%","1,279","FSM Boys"
"All","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","47,336","FSM Girls"
"White","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","32,633","FSM Girls"
"White - British","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","30,412","FSM Girls"
"White - Irish","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","70","%","128","FSM Girls"
"White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","50","%","180","FSM Girls"
"White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","47","%","375","FSM Girls"
"White - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","68","%","1,538","FSM Girls"
"Mixed","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","77","%","3,986","FSM Girls"
"Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","77","%","1,470","FSM Girls"
"Mixed - White and Black African","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","621","FSM Girls"
"Mixed - White and Asian","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","622","FSM Girls"
"Mixed - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","77","%","1,273","FSM Girls"
"Asian","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","76","%","4,422","FSM Girls"
"Asian - Indian","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","80","%","513","FSM Girls"
"Asian - Pakistani","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","73","%","2,261","FSM Girls"
"Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","79","%","1,028","FSM Girls"
"Asian - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","620","FSM Girls"
"Black","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","4,576","FSM Girls"
"Black - Caribbean","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","75","%","1,018","FSM Girls"
"Black - African","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","79","%","2,915","FSM Girls"
"Black - Any other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","643","FSM Girls"
"Chinese","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","83","%","109","FSM Girls"
"Other","DFE","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","74","%","1,224","FSM Girls"
"All","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","278,186","Non-FSM Boys"
"White","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","209,567","Non-FSM Boys"
"White - British","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84","%","186,755","Non-FSM Boys"
"White - Irish","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","768","Non-FSM Boys"
"White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","47","%","126","Non-FSM Boys"
"White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","37","%","875","Non-FSM Boys"
"White - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","75","%","21,043","Non-FSM Boys"
"Mixed","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","15,155","Non-FSM Boys"
"Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","3,438","Non-FSM Boys"
"Mixed - White and Black African","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84","%","2,164","Non-FSM Boys"
"Mixed - White and Asian","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","3,920","Non-FSM Boys"
"Mixed - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","5,633","Non-FSM Boys"
"Asian","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","30,296","Non-FSM Boys"
"Asian - Indian","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","8,948","Non-FSM Boys"
"Asian - Pakistani","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","74","%","12,100","Non-FSM Boys"
"Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","77","%","4,152","Non-FSM Boys"
"Asian - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","5,096","Non-FSM Boys"
"Black","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","13,492","Non-FSM Boys"
"Black - Caribbean","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","78","%","2,450","Non-FSM Boys"
"Black - African","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","9,218","Non-FSM Boys"
"Black - Any other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","77","%","1,824","Non-FSM Boys"
