"Title","Number of arrests by ethnicity and area"
"Location","England and Wales"
"Time period","2006/2007 to 2015/2016"
"Data source","Arrests open data"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Value2","Notes"
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area"," 327 "," N/A "," N/A ","20.22%","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area"," 224 "," N/A "," N/A ","13.85%","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area"," 94 "," N/A "," N/A ","5.81%","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","London, City of","Police Force Area"," 1,775 "," N/A "," N/A ","100.00%","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area"," 931 "," N/A "," N/A ","57.58%","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area"," 410 "," 3,208 "," 127.81 ","3.88%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area"," 41 "," N/A "," N/A ","2.54%","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","North Wales","Police Force Area"," 137 "," 1,497 "," 91.52 ","0.92%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area"," 852 "," 10,174 "," 83.74 ","7.91%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area"," 1,173 "," 14,246 "," 82.34 ","6.12%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area"," 412 "," 5,062 "," 81.39 ","3.20%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area"," 46 "," 579 "," 79.45 ","0.67%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area"," 311 "," 4,106 "," 75.74 ","2.02%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Norfolk","Police Force Area"," 336 "," 4,609 "," 72.90 ","3.32%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Dyfed-Powys","Police Force Area"," 60 "," 856 "," 70.09 ","1.09%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area"," 221 "," 3,156 "," 70.03 ","1.54%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area"," 226 "," 3,264 "," 69.24 ","1.63%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Hampshire","Police Force Area"," 1,108 "," 17,445 "," 63.51 ","4.99%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area"," 1,450 "," 22,879 "," 63.38 ","6.83%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Wiltshire","Police Force Area"," 372 "," 6,089 "," 61.09 ","5.47%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area"," 1,629 "," 27,287 "," 59.70 ","6.89%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area"," 293 "," 5,150 "," 56.89 ","5.66%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area"," 1,737 "," 30,923 "," 56.17 ","7.07%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area"," 705 "," 12,738 "," 55.35 ","2.77%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Suffolk","Police Force Area"," 366 "," 6,854 "," 53.40 ","5.08%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Surrey","Police Force Area"," 660 "," 12,430 "," 53.10 ","6.05%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area"," 769 "," 14,552 "," 52.84 ","2.76%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Warwickshire","Police Force Area"," 233 "," 4,443 "," 52.44 ","4.41%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area"," 436 "," 8,551 "," 50.99 ","2.91%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area"," 1,554 "," 31,401 "," 49.49 ","8.42%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area"," 123 "," 2,561 "," 48.03 ","1.41%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area"," 419 "," 9,006 "," 46.52 ","1.55%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area"," 787 "," 16,923 "," 46.50 ","7.92%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area"," 49 "," 1,058 "," 46.31 ","0.44%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area"," 49,948 "," 1,088,447 "," 45.89 ","27.10%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area"," 145 "," 3,185 "," 45.53 ","1.79%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area"," 3,140 "," 69,013 "," 45.50 ","8.81%",""
"Number of arrests","2015/16","Financial Year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area"," 82,789 "," 1,864,890 ","44.39","9.75%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area"," 226 "," 5,377 "," 42.03 ","1.02%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area"," 641 "," 15,636 "," 41.00 ","3.02%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area"," 485 "," 12,572 "," 38.58 ","4.51%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area"," 1,159 "," 30,981 "," 37.41 ","4.90%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area"," 1,074 "," 29,725 "," 36.13 ","11.07%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Leicestershire","Police Force Area"," 859 "," 24,623 "," 34.89 ","8.87%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area"," 1,930 "," 55,986 "," 34.47 ","5.42%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area"," 1,543 "," 46,476 "," 33.20 ","4.14%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area"," 238 "," 7,281 "," 32.69 ","1.56%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area"," 167 "," 5,114 "," 32.66 ","1.49%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","South Yorkshire","Police Force Area"," 840 "," 25,752 "," 32.62 ","5.16%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Humberside","Police Force Area"," 142 "," 4,499 "," 31.56 ","1.36%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area"," 858 "," 27,497 "," 31.20 ","4.65%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area"," 2,305 "," 74,097 "," 31.11 ","6.09%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area"," 865 "," 28,277 "," 30.59 ","3.52%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area"," 88 "," 3,004 "," 29.29 ","1.70%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area"," 290 "," 10,090 "," 28.74 ","1.89%",""
