"Title","Stop and search by ethnicity over time"
"Location","England and Wales"
"Time period","2009/10 to 2016/17"
"Data source","Policing statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","8 November 2017"

"","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17"
"Ethnicity","Rate ","Rate ","Rate ","Rate ","Rate ","Rate ","Rate ","Rate "
"All","23","23","21","18","16","10","7","5"
"Asian","34","36","32","24","19","11","9","8"
"Bangladeshi","64","64","55","37","31","16","16","12"
"Indian","20","20","17","12","8","5","4","3"
"Pakistani","35","36","34","28","22","13","10","8"
"Asian other","41","48","44","33","28","16","14","12"
"Black","112","112","95","65","55","34","31","29"
"Black African","67","70","60","40","34","22","20","19"
"Black Caribbean","148","139","112","74","59","36","31","28"
"Black other","192","204","187","135","117","74","71","70"
"Mixed","33","30","29","23","20","13","10","9"
"Mixed White/Asian","11","9","9","7","7","4","3","3"
"Mixed White/Black African","26","24","21","17","15","10","8","7"
"Mixed White/Black Caribbean","48","44","38","32","27","17","13","11"
"Mixed other","40","39","42","34","28","18","15","13"
"White","17","17","16","15","13","8","5","4"
"White British","16","16","15","14","12","7","4","3"
"White Irish","17","18","18","15","14","8","6","5"
"White other","32","35","35","31","27","17","13","10"
"Other","16","19","16","13","12","8","6","6"
"Chinese","9","8","6","5","6","3","2","1"
"Any other","22","26","24","18","17","11","9","9"
