"","Asian","","","Black","","","Mixed","","","White","","","Other inc Chinese","","","Unknown","",""
"","% officers","% population ","Number of police officers","% officers","% population ","Number of police officers","% officers","% population ","Number of police officers","% officers","% population ","Number of police officers","% officers","% population ","Number of police officers","% officers","% population ","Number of police officers"
"All - excluding BTP","2.7","6.8"," 3,266 ","1.2","3.3"," 1,424 ","1.9","2.2"," 2,309 ","93.4","86.0"," 111,505 ","0.7","1.7","852","N/A","N/A"," 3,048 "
"Avon & Somerset","0.3","2.1","7","0.3","1.9","7","2.0","1.8","47","97.1","93.3"," 2,260 ","0.3","1.0","7","N/A","N/A","268"
"Bedfordshire","5.4","13.2","61","1.4","4.8","16","3.3","3.0","37","89.7","77.5"," 1,002 ","0.1","1.4","1","N/A","N/A","14"
"British Transport Police","N/A","N/A","114","N/A","N/A","74","N/A","N/A","75","N/A","N/A"," 2,500 ","N/A","N/A","12","N/A","N/A","90"
"Cambridgeshire","1.2","4.9","16","0.3","1.3","5","1.6","2.0","22","96.7","90.3"," 1,321 ","0.2","1.6","3","N/A","N/A","17"
"Cheshire","0.4","1.2","8","0.2","0.3","4","0.8","1.0","16","98.5","96.9"," 1,916 ","0.1","0.5","2","N/A","N/A","75"
"Cleveland","1.3","3.1","16","0.1","0.6","1","0.3","1.0","4","98.1","94.5"," 1,208 ","0.2","0.8","2","N/A","N/A","26"
"Cumbria","0.3","0.6","3","0.2","0.1","2","0.5","0.5","5","99.1","98.5"," 1,067 ","0.0","0.3"," -   ","N/A","N/A","18"
"Derbyshire","2.1","3.6","37","0.2","1.0","4","0.9","1.4","16","96.6","93.3"," 1,674 ","0.2","0.7","3","N/A","N/A","4"
"Devon & Cornwall","0.2","0.7","4","0.3","0.2","6","0.9","0.9","21","98.4","97.5"," 2,272 ","0.2","0.6","5","N/A","N/A","651"
"Dorset","0.2","1.4","3","0.2","0.4","2","1.1","1.3","14","98.4","96.0"," 1,184 ","0.1","0.8","1","N/A","N/A","60"
"Durham","0.5","0.8","6","0.1","0.2","1","1.1","0.7","12","98.2","97.8"," 1,119 ","0.1","0.5","1","N/A","N/A","2"
"Dyfed-Powys","0.2","0.8","2","0.1","0.2","1","0.9","0.6","9","98.7","98.0","957","0.1","0.4","1","N/A","N/A","216"
"Essex","0.3","2.3","10","0.2","2.0","5","1.5","1.6","42","97.8","93.2"," 2,834 ","0.2","0.9","6","N/A","N/A","61"
"Gloucestershire","0.7","1.8","7","0.4","0.9","4","0.9","1.5","9","97.7","95.4"," 1,014 ","0.4","0.5","4","N/A","N/A","35"
"Greater Manchester","3.6","9.2","230","0.6","2.8","36","2.0","2.3","129","93.1","83.8"," 5,902 ","0.7","2.0","45","N/A","N/A","7"
"Gwent","0.7","1.7","9","0.5","0.6","6","0.9","1.0","11","97.7","96.1"," 1,211 ","0.2","0.6","2","N/A","N/A","28"
"Hampshire","1.0","3.0","27","0.3","0.9","9","1.2","1.6","32","96.9","93.3"," 2,641 ","0.6","1.1","16","N/A","N/A","109"
"Hertfordshire","1.6","5.7","30","0.7","2.8","14","2.0","2.5","38","95.7","87.6"," 1,855 ","0.1","1.4","1","N/A","N/A","14"
"Humberside","0.5","1.3","9","0.4","0.5","7","0.6","0.9","10","98.5","96.5"," 1,758 ","0.0","0.8"," -   ","N/A","N/A","10"
"Kent","1.2","3.1","40","0.2","1.3","5","1.4","1.6","44","97.0","93.1"," 3,122 ","0.2","0.9","8","N/A","N/A","42"
"Lancashire","2.5","7.4","70","0.1","0.4","3","1.8","1.1","51","95.4","90.4"," 2,689 ","0.2","0.7","5","N/A","N/A","150"
"Leicestershire","5.1","15.3","88","0.6","2.4","11","2.0","2.0","35","92.2","78.4"," 1,599 ","0.1","1.9","2","N/A","N/A","43"
"Lincolnshire","0.5","0.8","5","0.6","0.4","6","0.9","0.9","10","98.0","97.6"," 1,055 ","0.1","0.4","1","N/A","N/A","10"
"London, City of","2.4","9.2","17","1.6","2.6","11","2.0","3.9","14","93.7","78.6","651","0.3","5.7","2","N/A","N/A","2"
"Merseyside","0.4","1.4","14","0.6","1.1","19","2.1","1.5","72","96.4","94.5"," 3,300 ","0.5","1.6","17","N/A","N/A","28"
"Metropolitan Police","5.5","17.0"," 1,666 ","3.3","13.3","993","3.3","5.0","987","85.8","59.8"," 25,861 ","2.1","5.0","619","N/A","N/A","265"
"Norfolk","0.3","1.1","5","0.5","0.5","7","0.9","1.2","14","98.0","96.5"," 1,505 ","0.3","0.6","4","N/A","N/A","22"
"North Wales","0.2","0.9","3","0.1","0.2","1","0.5","0.7","8","99.1","97.5"," 1,452 ","0.1","0.6","1","N/A","N/A","25"
"North Yorkshire","0.3","1.2","4","0.0","0.5"," -   ","0.9","0.9","12","98.8","96.6"," 1,315 ","0.0","0.8"," -   ","N/A","N/A","19"
"Northamptonshire","1.2","3.3","13","1.1","2.4","13","1.4","2.0","16","96.2","91.5"," 1,119 ","0.1","0.8","1","N/A","N/A","52"
"Northumbria","0.5","2.7","14","0.1","0.6","4","1.0","0.9","31","98.3","94.6"," 3,022 ","0.1","1.3","4","N/A","N/A","99"
"Nottinghamshire","2.2","4.4","42","0.8","2.5","16","1.5","2.8","28","95.3","88.8"," 1,805 ","0.2","1.4","3","N/A","N/A","23"
"South Wales","0.6","2.8","16","0.2","1.0","5","1.4","1.4","40","97.6","93.4"," 2,828 ","0.3","1.5","8","N/A","N/A","19"
"South Yorkshire","1.9","4.1","45","0.5","1.9","12","1.2","1.5","30","96.4","90.6"," 2,358 ","0.1","1.8","2","N/A","N/A","12"
"Staffordshire","1.0","3.2","16","0.4","0.8","6","0.9","1.3","14","97.7","94.1"," 1,549 ","0.0","0.7"," -   ","N/A","N/A","5"
"Suffolk","0.3","1.5","3","0.4","0.9","4","2.3","1.7","26","96.9","95.2"," 1,071 ","0.2","0.6","2","N/A","N/A","21"
"Surrey","1.2","4.8","20","0.6","1.1","9","1.6","2.1","26","96.0","90.4"," 1,582 ","0.6","1.7","10","N/A","N/A","346"
"Sussex","0.3","2.5","8","0.2","0.9","5","1.2","1.9","30","97.8","93.7"," 2,396 ","0.4","1.0","10","N/A","N/A","100"
"Thames Valley","1.7","8.5","70","0.7","3.0","29","2.2","2.5","90","94.9","84.6"," 3,822 ","0.4","1.4","18","N/A","N/A","38"
"Warwickshire","3.6","4.2","29","0.1","0.8","1","0.9","1.5","7","94.9","92.7","751","0.5","0.9","4","N/A","N/A","15"
"West Mercia","1.0","1.8","20","0.3","0.4","6","1.1","1.1","21","97.4","96.2"," 1,908 ","0.2","0.5","4","N/A","N/A","16"
"West Midlands","6.1","18.0","396","1.5","6.0","98","2.3","3.5","147","90.0","70.1"," 5,858 ","0.2","2.3","12","N/A","N/A","70"
"West Yorkshire","3.4","12.6","170","0.5","2.1","27","1.5","2.2","75","94.3","81.8"," 4,717 ","0.3","1.4","14","N/A","N/A","11"
"Wiltshire","0.5","2.6","5","0.4","0.9","4","0.7","1.4","7","98.2","94.5","975","0.2","0.6","2","N/A","N/A","2"
