"Rank","Ethnicity","%","Number (FTE) of staff"
"Police Officer","Asian","2.7"," 3,266 "
"Police Officer","Black","1.2"," 1,424 "
"Police Officer","Mixed","1.9"," 2,309 "
"Police Officer","Other inc Chinese","0.7","852"
"Police Officer","White","93.4"," 111,505 "
"Police Officer","Unknown","N/A"," 3,048 "
"Police Staff","Asian","3.2"," 1,899 "
"Police Staff","Black","2.0"," 1,182 "
"Police Staff","Mixed","1.0","596"
"Police Staff","Other inc Chinese","0.6","352"
"Police Staff","White","93.2"," 55,239 "
"Police Staff","Unknown","N/A"," 3,552 "
"Community support officer","Asian","4.3","425"
"Community support officer","Black","2.7","269"
"Community support officer","Mixed","1.4","136"
"Community support officer","Other inc Chinese","1.1","108"
"Community support officer","White","90.5"," 8,931 "
"Community support officer","Unknown","N/A","271"
"Designated Officer","Asian","2.9","117"
"Designated Officer","Black","3.0","122"
"Designated Officer","Mixed","1.6","63"
"Designated Officer","Other inc Chinese","0.7","29"
"Designated Officer","White","91.9"," 3,755 "
"Designated Officer","Unknown","N/A","294"
"Traffic Warden","Asian","0.0","0"
"Traffic Warden","Black","0.0","0"
"Traffic Warden","Mixed","0.0","0"
"Traffic Warden","Other inc Chinese","0.0","0"
"Traffic Warden","White","100.0","9"
"Traffic Warden","Unknown","N/A","0"
