"Title","Grammar, punctuation and spelling attainment for children aged 10 to 11 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Ethnicity","Expected standard","Higher standard","Average scaled score"
"All","77","31","106"
"Asian","84","43","108"
"Bangladeshi","85","44","109"
"Indian","88","52","110"
"Pakistani","80","35","107"
"Asian other","85","49","109"
"Black","80","36","107"
"Black African","83","40","108"
"Black Caribbean","74","26","105"
"Black other","78","33","107"
"Chinese","88","56","110"
"Mixed","79","34","107"
"Mixed White/Asian","84","41","108"
"Mixed White/Black African","80","33","106"
"Mixed White/Black Caribbean","73","25","105"
"Mixed other","80","36","107"
"White","76","28","105"
"White British","76","28","106"
"White Irish","82","39","107"
"White Irish Traveller","33","6","98"
"White Gypsy/Roma","29","4","97"
"White other","72","29","105"
"Other","76","34","107"
