"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","Value","Value_Type","Denominator"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","104","Numeric","566111"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","103","Numeric","286289"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","279822"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","106","Numeric","59891"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","105","Numeric","30384"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","107","Numeric","29507"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","106","Numeric","9861"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","105","Numeric","4933"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","107","Numeric","4928"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","107","Numeric","15319"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","106","Numeric","7812"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","108","Numeric","7507"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","104","Numeric","25095"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","103","Numeric","12753"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","12342"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","107","Numeric","9616"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","106","Numeric","4886"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","107","Numeric","4730"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","105","Numeric","33116"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","104","Numeric","16583"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","16533"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","105","Numeric","21643"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","104","Numeric","10799"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","106","Numeric","10844"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","103","Numeric","7215"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","102","Numeric","3647"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","104","Numeric","3568"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","104","Numeric","4258"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","103","Numeric","2137"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","2121"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","108","Numeric","2124"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","107","Numeric","1042"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","109","Numeric","1082"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","105","Numeric","29671"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","104","Numeric","14956"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","106","Numeric","14715"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","106","Numeric","6869"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","105","Numeric","3546"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","107","Numeric","3323"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","104","Numeric","3788"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","104","Numeric","1907"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","1881"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","103","Numeric","8304"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","102","Numeric","4126"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","104","Numeric","4178"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","105","Numeric","10710"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","104","Numeric","5377"
