"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Hertfordshire","E10000015","80","%","13129"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Central Bedfordshire","E06000056","73","%","3154"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Peterborough","E06000031","70","%","2576"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Suffolk","E10000029","72","%","7464"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Essex","E10000012","79","%","15729"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Bedford","E06000055","72","%","2021"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Luton","E06000032","79","%","2941"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Norfolk","E10000020","70","%","8361"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Southend-on-Sea","E06000033","80","%","1983"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Thurrock","E06000034","78","%","2098"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East","Cambridgeshire","E10000003","75","%","6397"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derby","E06000015","74","%","3019"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicester","E06000016","76","%","4168"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicestershire","E10000018","77","%","7333"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","76","%","8112"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Lincolnshire","E10000019","74","%","7551"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","81","%","386"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottinghamshire","E10000024","77","%","8750"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Northamptonshire","E10000021","74","%","8688"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottingham","E06000018","76","%","3304"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Greenwich","E09000011","82","%","3130"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Ealing","E09000009","84","%","3903"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Hillingdon","E09000017","83","%","3563"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Wandsworth","E09000032","84","%","2277"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Barnet","E09000003","85","%","3782"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Richmond upon Thames","E09000027","90","%","2064"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Islington","E09000019","81","%","1811"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Redbridge","E09000026","84","%","3763"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Harrow","E09000015","87","%","2717"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Westminster","E09000033","86","%","1435"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Hounslow","E09000018","84","%","2888"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Bromley","E09000006","85","%","3436"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Newham","E09000025","86","%","4352"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","City of London","E09000001","92","%","26"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Enfield","E09000010","78","%","4281"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Kingston upon Thames","E09000021","86","%","1620"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Camden","E09000007","83","%","1472"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Lambeth","E09000022","85","%","2914"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Kensington and Chelsea","E09000020","91","%","928"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Hammersmith and Fulham","E09000013","87","%","1276"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Hackney","E09000012","84","%","2494"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Brent","E09000005","81","%","3563"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Sutton","E09000029","84","%","2100"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 5+1","2016/2017","Academic year","London","Southwark","E09000028","81","%","2999"
