"Title","Grammar, punctuation and spelling attainment for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Expected standard","Higher standard","Average scaled score"
"All","72","22","104"
"Asian","79","30","106"
"Bangladeshi","81","30","106"
"Indian","85","39","107"
"Pakistani","73","22","104"
"Asian other","82","37","107"
"Black","75","24","105"
"Black African","78","27","105"
"Black Caribbean","67","16","103"
"Black other","72","21","104"
"Chinese","87","46","108"
"Mixed","75","25","105"
"Mixed White/Asian","81","32","106"
"Mixed White/Black African","75","25","104"
"Mixed White/Black Caribbean","69","18","103"
"Mixed other","77","27","105"
"White","71","21","104"
"White British","72","21","104"
"White Irish","78","31","105"
"White Irish Traveller","33","4","97"
"White Gypsy/Roma","22","2","95"
"White other","67","22","103"
"Other","72","25","105"
"Unknown","60","18","103"
