"Title","Writing attainments for children aged 6 to 7 (key stage 1)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-01"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","66","%","641593"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","50","%","97397"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","68","%","544196"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","59","%","328249"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","42","%","50061"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","61","%","278188"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","73","%","313344"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","58","%","47336"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","75","%","266008"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","69","%","68312"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","59","%","8899"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","71","%","59413"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","63","%","34773"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","52","%","4477"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","65","%","30296"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","76","%","33539"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","66","%","4422"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","77","%","29117"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","69","%","10383"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","64","%","2051"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","71","%","8332"
"Percentage of pupils reaching the key stage 1 expected standard in writing","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","63","%","5175"
