"Title","Writing attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","FSM","Non-FSM"
"Ethnicity","",""
"All","50","68"
"Asian","59","71"
"Bangladeshi","64","71"
"Indian","65","78"
"Pakistani","56","65"
"Asian other","61","73"
"Black","62","71"
"Black African","64","73"
"Black Caribbean","57","67"
"Black other","59","69"
"Chinese","74","77"
"Mixed","56","71"
"Mixed White/Asian","56","76"
"Mixed White/Black African","58","72"
"Mixed White/Black Caribbean","53","65"
"Mixed other","57","72"
"White","46","68"
"White British","47","69"
"White Irish","44","72"
"White Irish Traveller","24","27"
"White Gypsy/Roma","22","20"
"White other","51","61"
"Other","57","63"
