"Title","Writing attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Breakdown","Ethnicity",""
"FSM Boys","All","42"
"FSM Boys","Asian","52"
"FSM Boys","Asian - Bangladeshi","56"
"FSM Boys","Asian - Indian","62"
"FSM Boys","Asian - Pakistani","48"
"FSM Boys","Asian - Any other","55"
"FSM Boys","Black","54"
"FSM Boys","Black - African","56"
"FSM Boys","Black - Caribbean","47"
"FSM Boys","Black - Any other","52"
"FSM Boys","Chinese","71"
"FSM Boys","Mixed","48"
"FSM Boys","Mixed - White and Asian","48"
"FSM Boys","Mixed - White and Black African","51"
"FSM Boys","Mixed - White and Black Caribbean","44"
"FSM Boys","Mixed - Any other","50"
"FSM Boys","White","39"
"FSM Boys","White - British","39"
"FSM Boys","White - Irish","38"
"FSM Boys","White - Traveller of Irish Heritage","20"
"FSM Boys","White - Gypsy/Roma","15"
"FSM Boys","White - Any other","45"
"FSM Boys","Other","49"
"FSM Girls","All","58"
"FSM Girls","Asian","66"
"FSM Girls","Asian - Bangladeshi","72"
"FSM Girls","Asian - Indian","69"
"FSM Girls","Asian - Pakistani","63"
"FSM Girls","Asian - Any other","67"
"FSM Girls","Black","70"
"FSM Girls","Black - African","72"
"FSM Girls","Black - Caribbean","67"
"FSM Girls","Black - Any other","67"
"FSM Girls","Chinese","78"
"FSM Girls","Mixed","64"
"FSM Girls","Mixed - White and Asian","64"
"FSM Girls","Mixed - White and Black African","65"
"FSM Girls","Mixed - White and Black Caribbean","63"
"FSM Girls","Mixed - Any other","63"
"FSM Girls","White","55"
"FSM Girls","White - British","55"
"FSM Girls","White - Irish","50"
"FSM Girls","White - Traveller of Irish Heritage","28"
"FSM Girls","White - Gypsy/Roma","28"
"FSM Girls","White - Any other","57"
"FSM Girls","Other","66"
"Non-FSM Boys","All","61"
"Non-FSM Boys","Asian","65"
"Non-FSM Boys","Asian - Bangladeshi","64"
"Non-FSM Boys","Asian - Indian","73"
"Non-FSM Boys","Asian - Pakistani","58"
"Non-FSM Boys","Asian - Any other","67"
"Non-FSM Boys","Black","65"
"Non-FSM Boys","Black - African","67"
"Non-FSM Boys","Black - Caribbean","60"
"Non-FSM Boys","Black - Any other","63"
"Non-FSM Boys","Chinese","73"
"Non-FSM Boys","Mixed","64"
"Non-FSM Boys","Mixed - White and Asian","69"
"Non-FSM Boys","Mixed - White and Black African","65"
"Non-FSM Boys","Mixed - White and Black Caribbean","58"
"Non-FSM Boys","Mixed - Any other","64"
"Non-FSM Boys","White","61"
"Non-FSM Boys","White - British","62"
"Non-FSM Boys","White - Irish","65"
"Non-FSM Boys","White - Traveller of Irish Heritage","21"
"Non-FSM Boys","White - Gypsy/Roma","15"
"Non-FSM Boys","White - Any other","56"
"Non-FSM Boys","Other","57"
"Non-FSM Girls","All","75"
"Non-FSM Girls","Asian","77"
"Non-FSM Girls","Asian - Bangladeshi","76"
"Non-FSM Girls","Asian - Indian","84"
"Non-FSM Girls","Asian - Pakistani","72"
"Non-FSM Girls","Asian - Any other","80"
"Non-FSM Girls","Black","78"
"Non-FSM Girls","Black - African","79"
"Non-FSM Girls","Black - Caribbean","73"
"Non-FSM Girls","Black - Any other","76"
"Non-FSM Girls","Chinese","82"
"Non-FSM Girls","Mixed","78"
"Non-FSM Girls","Mixed - White and Asian","82"
"Non-FSM Girls","Mixed - White and Black African","78"
"Non-FSM Girls","Mixed - White and Black Caribbean","72"
"Non-FSM Girls","Mixed - Any other","79"
"Non-FSM Girls","White","75"
"Non-FSM Girls","White - British","76"
"Non-FSM Girls","White - Irish","80"
"Non-FSM Girls","White - Traveller of Irish Heritage","36"
"Non-FSM Girls","White - Gypsy/Roma","25"
"Non-FSM Girls","White - Any other","67"
"Non-FSM Girls","Other","69"
